 NUMBER,POSITION,A,B
 1, Commodore (Admiral), 154th Battle Rider Squadron,
 2, Vice Commodore (Captain), 154th Battle Rider Squadron,
 3, Flag Aide (Lieutenant), 154th Battle Rider Squadron,
 4, 154th Battle Rider Squadron,,
 5, Captain (Captain), BCF Shurduu, 154th Battle Rider Squadron
 6, Executive Officer (Commander), BCF Shurduu, 154th Battle Rider Squadron
 7, Astrogator (Lt Commander), BCF Shurduu, 154th Battle Rider Squadron
 8, Chief of Operations (Commander), BCF Shurduu, 154th Battle Rider Squadron
 9, Chief of Sensors (Lt Commander), BCF Shurduu, 154th Battle Rider Squadron
 10, Chief of Engineering (Lt Commander), BCF Shurduu, 154th Battle Rider Squadron
 11, Chief of Weapons (Commander), BCF Shurduu, 154th Battle Rider Squadron
 12, Chief of Supply (Lt Commander), BCF Shurduu, 154th Battle Rider Squadron
 13, Counsellor (Lt Commander), BCF Shurduu, 154th Battle Rider Squadron
,,,
,,,
 16, Captain (Commander), BR Agu, 154th Battle Rider Squadron
 17, Executive Officer (Lt Commander), BR Agu, 154th Battle Rider Squadron
 18, Chief Pilot (Lieutenant), BR Agu, 154th Battle Rider Squadron
 19, Second Pilot (Lieutenant), BR Agu, 154th Battle Rider Squadron
 20, Third Pilot (Lieutenant), BR Agu, 154th Battle Rider Squadron
 21, Chief Astrogator (Lieutenant), BR Agu, 154th Battle Rider Squadron
 22, Second Astrogator (Lieutenant), BR Agu, 154th Battle Rider Squadron
 23, Third Astrogator (Lieutenant), BR Agu, 154th Battle Rider Squadron
 24, Chief Engineer (Lieutenant), BR Agu, 154th Battle Rider Squadron
 25, Second Engineer Jump (Lieutenant), BR Agu, 154th Battle Rider Squadron
 26, Third Engineer Maneuver (Lieutenant), BR Agu, 154th Battle Rider Squadron
 27, Power Engineer (Lieutenant), BR Agu, 154th Battle Rider Squadron
 28, Chief Sensor (Lieutenant), BR Agu, 154th Battle Rider Squadron
 29, Second Sensop (Lieutenant), BR Agu, 154th Battle Rider Squadron
 30, Third Sensop (Lieutenant), BR Agu, 154th Battle Rider Squadron
 31, Spinal Weapons Officer (Lieutenant), BR Agu, 154th Battle Rider Squadron
 32, Protective Battery Officer (Lieutenant), BR Agu, 154th Battle Rider Squadron
 33, Ship's Doctor (Lieutenant), BR Agu, 154th Battle Rider Squadron
,,,
 35, Captain (Commander), BR Iirba, 154th Battle Rider Squadron
 36, Executive Officer (Lt Commander), BR Iirba, 154th Battle Rider Squadron
