"Batt","Section","Sec-Men","Platoon","Pla-Men","Sqd-Men","ID","Vehicle"
"ASB","SC","","SCH","9","5","SCH1","ASTRINC"
"ASB","SC","","SCH","","4","SCH2","ASTRINC"
"ASB","SC","","SCH","","1","SCH3","AIRRAFT"
"ASB","SQ","","SQM","6","6","SHQ1","ASTRIN"
"ASB","SE","","SEH","21","7","SEH1","ASTRIN"
"ASB","SE","","SHE","","7","SEH2","ASTRIN"
"ASB","SE","","SHE","","7","SEH3","ASTRIN"
"ASB","SC","","SEA","34","2","SEA1","RUSTO"
"ASB","SC","","SEA","","2","SEA2","RUSTO"
"ASB","SC","","SEA","","2","SEA3","RUSTO"
"ASB","SC","","SEA","","10","SEA4","GCARRIER"
"ASB","SC","","SEA","","9","SEA5","GCARRIER"
"ASB","SC","","SEA","","9","SEA6","GCARRIER"
"ASB","SC","","SEB","34","2","SEB1","RUSTO"
"ASB","SC","","SEB","","2","SEB2","RUSTO"
"ASB","SC","","SEB","","2","SEB3","RUSTO"
"ASB","SC","","SEB","","10","SEB4","GCARRIER"
"ASB","SC","","SEB","","9","SEB5","GCARRIER"
"ASB","SC","","SEB","","9","SEB6","GCARRIER"
"ASB","SC","","SEC","34","2","SEC1","RUSTO"
"ASB","SC","","SEC","","2","SEC2","RUSTO"
"ASB","SC","","SEC","","2","SEC3","RUSTO"
"ASB","SC","","SEC","","10","SEC4","GCARRIER"
"ASB","SC","","SEC","","9","SEC5","GCARRIER"
"ASB","SC","","SEC","","9","SEC6","GCARRIER"
"ASB","SH","112","SHC","10","10","SHC","1STAID.BMP"
"ASB","SQ","","SHS","20","20","SHS","1STAID.BMP"
"ASB","SH","","SHM","40","40","SHM","1STAID.BMP"
"ASB","SH","","SHH","7","7","SHH","1STAID.BMP"
"ASB","SQ","","SHS","35","35","SHS","1STAID.BMP"
"ASB","SM","200","SMH","12","2","SMH1","AIRRAFT"
"ASB","SM","200","SMH","","2","SMH2","AIRRAFT"
"ASB","SM","200","SMH","","2","SMH3","AIRRAFT"
"ASB","SM","200","SMH","","3","SMH4","GCARRIER"
"ASB","SM","200","SMH","","3","SMH5","GCARRIER"
"ASB","SL","","SMA","110","11","SMA1","GCARRIER"
"ASB","SL","","SMA","","11","SMA2","GCARRIER"
"ASB","SL","","SMA","","11","SMA3","GCARRIER"
"ASB","SL","","SMA","","11","SMA4","GCARRIER"
"ASB","SL","","SMA","","11","SMA5","GCARRIER"
"ASB","SL","","SMA","","11","SMA6","GCARRIER"
"ASB","SL","","SMA","","11","SMA7","GCARRIER"
"ASB","SL","","SMA","","11","SMA8","GCARRIER"
