"Battalion","Bat-Men","Section","Sec-Men","Sqd-Vehicle","Squad","CO","Sqd-Men"
"BCD","270","BHQ","89","ASTRIN","BHQ1","","5"
"","","","","ASTRIN","BHQ2","","6"
"","","","","ASTRIN","BHQ3","","6"
"","","","","ASTRIN","BHQ4","","6"
"","","","","ASTRIN","BHQ5","","6"
"","","","","ASTRIN","BHQ6","","6"
"","","","","ASTRIN","BHQ7","","6"
"","","","","ASTRIN","BHQ8","","6"
"","","","","ASTRIN","BHQ9","","6"
"","","","","ASTRIN","BHQA","","6"
"","","","","ASTRIN","BHQB","","6"
"","","","","ASTRIN","BHQC","","6"
"","","","","ASTRIN","BHQD","","6"
"","","","","ASTRIN","BHQE","","6"
"","","","","ASTRIN","BHQF","","6"
"","","BHC","10","ASTRIN","BHC1","","10"
"","","BSP","45","REARDEN","BSP1","","5"
"","","","","REARDEN","BSP2","","4"
"","","","","REARDEN","BSP3","","4"
"","","","","REARDEN","BSP4","","4"
"","","","","REARDEN","BSP5","","4"
"","","","","REARDEN","BSP6","","4"
"","","","","REARDEN","BSP7","","4"
"","","","","REARDEN","BSP8","","4"
"","","","","REARDEN","BSP9","","4"
"","","","","REARDEN","BSPA","","4"
"","","","","REARDEN","BSPB","","4"
"","","BSS","85","ASDV","BSS1","","15"
"","","","","ASDV","BSS2","","15"
"","","","","ASDV","BSS3","","15"
"","","","","ASTRINEW","BSS4","","10"
"","","","","REARDEN","BSS5","","10"
"","","","","REARDEN","BSS6","","10"
"","","","","REARDEN","BSS7","","10"
"","","BND","","ASTRINND","BND1","","3"
"","","","","ASTRINND","BND2","","3"
"","","","","ASTRINND","BND3","","3"
"","","","","ASTRINND","BND4","","3"
"","","BFS","","ASTRIN","BFS1","","5"
"","","","","ASTRIN","BFS2","","5"
"","","","","ASTRIN","BFS3","","5"
"","","","","ASTRIN","BFS4","","5"
"","","","","ASTRIN","BFS5","","5"
