"Sqd-Veh","Sqd-Men","Sqd-ID"
"astc","8","HQ1"
"astc","8","HQ2"
"astc","8","HQ3"
"astc","8","HQ4"
"astc","8","HQ5"
"astc","8","HQ6"
"astc","8","HQ7"
"astr","6","HC1"
"airraft","2","HM1"
"airraft","2","HM2"
"airraft","2","HM3"
"airraft","2","HM4"
"airraft","2","HM5"
"airraft","4","HF1"
"airraft","4","HF2"
"airraft","4","HF3"
"airraft","4","HF4"
"airraft","4","HF5"
"airraft","4","HF6"
"gcar","1","HE1"
"gcar","1","HE2"
"hrec","5","HE3"
"hrec","5","HE4"
"hrec","5","HE5"
"hrec","5","HE6"
"gcar","4","HS1"
"gcar","3","HS2"
"gcar","3","HS3"
"astr","3","1H1"
"astr","3","1H2"
"gcar","4","1H3"
"astr","12","1A1"
"astr","12","1A2"
"astr","12","1A3"
"astr","12","1A4"
"astr","12","1B1"
"astr","12","1B2"
"astr","12","1B3"
"astr","12","1B4"
"astr","12","1C1"
"astr","12","1C2"
"astr","12","1C3"
"astr","12","1C4"
"astr","3","2H1"
"astr","3","2H2"
"gcar","4","2H3"
"astr","12","2A1"
"astr","12","2A2"
"astr","12","2A3"
"astr","12","2A4"
"astr","12","2B1"
"astr","12","2B2"
"astr","12","2B3"
"astr","12","2B4"
"astr","12","2C1"
"astr","12","2C2"
"astr","12","2C3"
"astr","12","2C4"
"astr","3","3H1"
"astr","3","3H2"
"gcar","4","2H3"
"astr","12","3A1"
"astr","12","3A2"
"astr","12","3A3"
"astr","12","3A4"
"astr","12","3B1"
"astr","12","3B2"
"astr","12","3B3"
"astr","12","3B4"
"astr","12","3C1"
"astr","12","3C2"
"astr","12","3C3"
"astr","12","3C4"
"berg","3","FH1"
"berg","3","FH2"
"gcar","4","FH3"
"berg","3","FA1"
"berg","3","FA2"
"berg","3","FA3"
"berg","3","FA4"
"berg","3","FB1"
"berg","3","FB2"
"berg","3","FB3"
"berg","3","FB4"
"berg","3","FC1"
"berg","3","FC2"
"berg","3","FC3"
"berg","3","FC4"
"berg","3","FD1"
"berg","3","FD2"
"berg","3","FD3"
"berg","3","FD4"
