"TITLE","RANK","CR/MNTH","SHARES"
"SIZE","","",""
"TEAM","","",""
"SQUAD","","",""
"SECTION","","",""
"PLATOON","","",""
"COMPANY","","",""
"BATTALION","","",""
"","","",""
"TICKET","","",""
"CADRE","","",""
"COMMANDO","","",""
"STRIKER","","",""
"SECURITY","","",""
"GENERAL","","",""
"","","",""
"TITLE","RANK","CR/MNTH","SHARES"
"PRVTE","0","300","1"
"L_COR","1","400","2"
"CORP","1","450","3"
"L_SGT","2","500","3"
"SGT","2","550","4"
"C_SGT","2","600","4"
"L_SGT","2","700","5"
"1SGT","2","800","6"
"SGTMAJ","3","1000","7"
"2_LT","3","1000","5"
"1_LT","3","1200","6"
"CAPT","4","1400","7"
"MAJOR","4","1600","8"
"LT_COL","5","1800","9"
"COLONEL(6)","6","2000","10"
