"ID","Trailer Type","Cost","Weight","Spaces","Load","Tongue DP","Armour"
"1","Mini-Van","200","400","3","900","1","9/5"
"2","6` Van","450","1000","12","2800","2","15/7"
"3","6` Flatbed","300","700","8","3700","2","15/7"
"4","10` Van","700","1600","20","4700","2","19/10"
"5","10` Flatbed","475","1100","13","6200","2","19/10"
"6","15` Van","1000","2500","30","7200","3","25/13"
"7","15` Flatbed","675","1500","19","9500","3","25/13"
"8","20` Van","1300","2800","38","9400","3","30/16"
"9","20` Flatbed","875","1900","24","12400","3","30/16"
"10","25` Van","1600","3300","46","11900","3","35/17"
"11","25` Flatbed","1075","2200","29","15700","4","35/17"
"12","30` Van","1900","3500","54","14100","4","40/18"
"13","30` Flatbed","1250","2300","35","18600","4","40/18"
"14","40` Van","6000","3000","80","-","4","40/18"
"15","40` Flatbed","3000","2000","50*","-","4","40/18"
"16","40` Dual level Flatbed","4500","3000","70*","-","4","40/18"
"17","40` Reefer","10000","3500","75","-","4","40/18"
"18","40` Tanker","16000","5000","60","-","4","40/18"
"19","40` Dumper","11000","6000","70","-","4","40/18"
