"Field1","Field2","Field3","Field5","Field6","Field7","Field9","Field11","Field10"
"INITIAL CONSONANTS","","","VOWELS","","","FINAL CONSONANTS","",""
"87","","","52","","","47","",""
"SOUND","FREQ","PRON","SOUND","FREQ","PRON","SOUND","PRON","FREQ"
"F","5","WHEW","A","10","LOCK","H","how","10"
"FT","4","RIFT","AI","3","KITE","KH","lock","4"
"H","7","IT","AO","2","MAO","L","doll","7"
"HF","2","HFANG","AU","1","HOUSE","LR","all right","3"
"HK","5","HKANG","E","6","GET","R","her","5"
"HL","3","HLANG","EA","6","E+A","RL","curl","4"
"HR","3","HRANG","EI","2","BAY","S","hiss (Aslan)","5"
"HT","5","HEIGHT","I","4","KIT","W","wow","6"
"HW","2","WHAT","IY","3","FEET","`","` glottal stop","3"
"K","7","KITE","O","2","GONE","","",""
"KH","6","LOCH","OA","1","O+A","","",""
"KHT","4","NACHTE","OI","2","NOISE","","",""
"KT","4","BACKED","OU","1","A+U","","",""
"L","2","LIKE","U","1","LUTE","","",""
"R","3","RUN","UA","1","U+A","","",""
"S","4","SUN","UI","1","U+I","","",""
"ST","3","STOP","YA","2","YARD","","",""
"T","8","TON","YU","1","FEUD","","",""
"TL","2","TLALOC","","","","","",""
"TR","2","TRIP","","","","","",""
"W","6","WIN","","","","","",""
