"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field11","Field12","Field13","Field14","Field15","Field16","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field10"
"","LANGUAGE TABLES","","","","","","","","","","","","","","","","","","","","",""
"","","B","A","S","I","C","","","WordLength=1d6syllables","","","","","","","","","A","L","T","E","R"
"","","1","2","3","4","5","6","","","","","","","","","","","1","2","3","4","5"
"","1","","","","","","","","","","","","","","","","1","","","","",""
"","2","","","","","","","","","","","","","","","","2","","","","",""
"","3","","","","","","","","","","","","","","","","3","","","","",""
"","4","","","","","","","","","","","","","","","","4","","","","",""
"","5","","","","","","","","","","","","","","","","5","","","","",""
"","6","","","","","","","","","","","","","","","","6","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1st consonant","","","","","","Vowel","","","","","","","final consonant","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","","","","","","","","1","","","","","","","","1","","","","",""
"","2","","","","","","","","2","","","","","","","","2","","","","",""
"1","3","","","","","","","","3","","","","","","","","3","","","","",""
"","4","","","","","","","","4","","","","","","","","4","","","","",""
"","5","","","","","","","","5","","","","","","","","5","","","","",""
"","6","","","","","","","","6","","","","","","","","6","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","","","","","","","","1","","","","","","","","1","","","","",""
"","2","","","","","","","","2","","","","","","","","2","","","","",""
"2","3","","","","","","","","3","","","","","","","","3","","","","",""
"","4","","","","","","","","4","","","","","","","","4","","","","",""
"","5","","","","","","","","5","","","","","","","","5","","","","",""
"","6","","","","","","","","6","","","","","","","","6","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","","","","","","","","1","","","","","","","","1","","","","",""
"","2","","","","","","","","2","","","","","","","","2","","","","",""
"3","3","","","","","","","","3","","","","","","","","3","","","","",""
"","4","","","","","","","","4","","","","","","","","4","","","","",""
"","5","","","","","","","","5","","","","","","","","5","","","","",""
"","6","","","","","","","","6","","","","","","","","6","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","","","","","","","","1","","","","","","","","1","","","","",""
"","2","","","","","","","","2","","","","","","","","2","","","","",""
"4","3","","","","","","","","3","","","","","","","","3","","","","",""
"","4","","","","","","","","4","","","","","","","","4","","","","",""
"","5","","","","","","","","5","","","","","","","","5","","","","",""
"","6","","","","","","","","6","","","","","","","","6","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","","","","","","","","1","","","","","","","","1","","","","",""
"","2","","","","","","","","2","","","","","","","","2","","","","",""
"5","3","","","","","","","","3","","","","","","","","3","","","","",""
"","4","","","","","","","","4","","","","","","","","4","","","","",""
"","5","","","","","","","","5","","","","","","","","5","","","","",""
"","6","","","","","","","","6","","","","","","","","6","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","6","","","1","2","3","4","5","6","","","1","2","3","4","5"
"","1","","","","","","","","1","","","","","","","","1","","","","",""
"","2","","","","","","","","2","","","","","","","","2","","","","",""
"6","3","","","","","","","","3","","","","","","","","3","","","","",""
"","4","","","","","","","","4","","","","","","","","4","","","","",""
"","5","","","","","","","","5","","","","","","","","5","","","","",""
"","6","","","","","","","","6","","","","","","","","6","","","","",""
