"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field9","Field11","Field12","Field13","Field14","Field16","Field18","Field10"
"-300K","-340K","-240K","225K","295K","-1320K","FINAL_WAR(LASTS2000YRS)_DESTROYS_ANCIENTS","","","","","","","",""
"-200K","-225K","-160K","150K","195","-85K","HOMO ZHDOTLAS ARISES ON ZHODANE","","","","","","","",""
"-75K","-85K","-55K","55K","70K","-30K","DROYNE_ASCENDENCE_ON_SEVERAL_WORLDS","","","","","","","",""
"-20K","-20K","-10K","12K","15K","-6000","ANCIENT_WARBOTS_ON_VLAND_RUN_DOWN","","","","","","","",""
"-15K","-15K","-5500","8500","10500","-3500","RISE_OF_MODERN_HOMO_SAPIENS","","","","","","","",""
"-11K","-10K","-2300","5300","6500","-1800","FLOWERING_OF_VILANI_CULTURE","","","","","","","",""
"-10011","-9042","-1543","4547","5493","-1446.1","1ST_VILANI_SPACE_EXPLORATIONS","","","","","","","",""
"-9900","-8916","-1450","4462","5382","-1397.1","SCIENTIFIC_BASES_ESTABLISHED_IN_VLAND_SYSTEM","","","","","","","",""
"-9400","-8345","-1034","4081","4882","-1176.1","VILANI_SUBLIGHT_INTERSTELLAR_COLONIZATIONS","","","","","","","",""
"-9310","-8243","-959","4013","4792","-1136.1","VILANI_DISCOVER_NON-VILANI_HUMANS","","","","","","","",""
"-9235","-8157","-897","3955","4717","-1103.1","VILANI_DISCOVER_JUMP-DRIVE","","","","","","","",""
"-8590","-7421","-360","3464","4072","-817.3","ZHODANI_DISCOVER_PRINTING_PRESS","","","","","","","",""
"-8500","-7319","-285","3395","3982","-778.1","ZHODANI_DEVELOP_ELEMENTARY_PSIONICS","","","","","","","",""
"-7980","-6726","147","2999","3462","-548.1","1ST_ZHO._SPACE_EXPLORATIONS","","","","","","","",""
"-7945","-6686","176","2972","3427","-532.3","PLAGUE_ON_ZHODANE","","","","","","","",""
"-6800","-5380","1129","2099","2282","-25.2","ZHODANI_RECOVERY","","","","","","","",""
"-6731","-5301","1186","2046","2213","1.1","1ST_PSIONIC_GAMES._ZHO_CALENDAR_BEGINS","","","","","","","",""
"-6200","-4695","1628","1641","1682","238.3","1ST_ZHO_PLANETARY_MISSIONS","","","","","","","",""
"-6000","-4467","1795","1489","1482","327.1","1ST_ZHO_SUBLIGHT_INTERSTELLAR_FLIGHTS","","","","","","","",""
"-5823","-4265","1942","1354","1305","405.2","ZHODANI_CONSULATE_ESTABLISHED","","","","","","","",""
"-5430","-3817","2269","1054","912","579.1","VILANI_DEVELOP_J-2","","","","","","","",""
"-5415","-3800","2282","1043","897","585.3","ZHODANI_DISCOVER_J-DRIVE","","","","","","","",""
"-5400","-3783","2294","1032","882","592.2","START_OF_VILANI_CONSOLIDATION_WARS","","","","","","","",""
"-4698","-2982","2879","496","180","902.3","HIVERS_DEVELOP_INFERIOR_J-DRIVE","","","","","","","",""
"-4520","-2779","3027","361","1-AD","981.2","TERRAN_DATING_SYSTEM_BEGINS","","","","","","","",""
"-4404","-2646","3123","272","114","1032.3","VEGA_ABSORBED_BY_VILANI","","","","","","","",""
"-4305","-2534","3206","197","213","1076.2","K`KREE_UNIFICATION_OF_HOMEWORLD","","","","","","","",""
"-4212","-2348","3283","126","306","1117.2","HIVERS_DISCOVER_STD._J-DRIVE","","","","","","","",""
"-4142","","3341","72","376","1148.2","K`KREE_DISCOVER_J-DRIVE","","","","","","","",""
"-4045","-2237","3422","1_VI","473","1191.2","CONSOLIDATION_WARS_END.__ZIRA_SIRKA_FOUNDED","","","","","","","",""
"-4000","-2186","3459","35","518","1211.1","VILANI_STOP_EXPLORING.__1ST_ZHO_CORE_MISSION","","","","","","","",""
"-3810","-1969","3618","180","708","1295.1","VARGR_DISCOVER_J-DRIVE","","","","","","","",""
"-3500","-1615","3876","416","1018","1432.2","1ST_IMPERIUM_REACHES_GREATEST_HEIGHT","","","","","","","",""
"-2800","-817","4458","950","1718","1741.3","1ST_ZHO._CONTACT_WITH_VARGR","","","","","","","",""
"-2559","-542","4659","1133","1959","1848.2","1ST_SOLOMANI_EXPLORATIONS","","","","","","","",""
"-2460","-429","4741","1209","2058","1892.1","SOLOMANI_BASES_THROUGHOUT_SYSTEM","","","","","","","",""
"-2431","-396","4765","1231","2087","1904.3","SOLOMANI_DISCOVER_J-DRIVE","","","","","","","",""
"-2424","-388","4771","1236","2094","1908.1","SOLOMANI_VISIT_BARNARDS_STAR","","","","","","","",""
"-2422","-386","4773","1238","2096","1908.3","1ST_CONTACT_WITH_VILANI","","","","","","","",""
"-2408","-370","4784","1249","2110","1915.1","1ST_INTERSTELLAR_WAR_ENDS","","","","","","","",""
"-2400","-360","4791","1255","2118","1918.3","VARGR_PILLAGING_STARTS","","","","","","","",""
"-2398","-358","4793","1256","2120","1919.2","TERRAN_CONFEDERATION_ESTABLISHED","","","","","","","",""
"-2389","-348","4800","1263","2129","1923.2","TERRAN_NAVY_USES_A.I._ROBOTS","","","","","","","",""
"-2235","-172","4928","1380","2283","1991.2","NTH_INTERSTELLAR_WAR_STARTS","","","","","","","",""
"-2219","-154","4945","1393","2299","1998.3","NTH_INTERSTELLAR_WAR_ENDS","","","","","","","",""
"-2204","-137","4954","1404","2314","2005.1","TERRAN_CONFED._ENDS.__RULE_OF_MAN_BEGINS","","","","","","","",""
"-2190","-121","4966","1415","2328","2011.2","ASLAN_1ST_WORLD_WAR","","","","","","","",""
"-2160","-87","4991","1438","2358","2024.3","ASLAN_NUCLEAR_WAR","","","","","","","",""
"-2136","-59","5011","1456","2382","2035.2","1ST_ASLAN_SPACE_EXPLORATIONS","","","","","","","",""
"-2083","0","5055","1496","2435","3058.3","FORMATION_OF_THE_TLAUKHU.__ASLAN_CALENDAR_BEGINS","","","","","","","",""
"-2074","10","5062","1503","2444","2062.3","FLEEING_VILANI_COLONIZE_TROJAN_REACHES","","","","","","","",""
"-2045","43","5087","1525","2473","2075.2","1ST_CONTACT_BETWEEN_KKREE_&__HIVERS","","","","","","","",""
"-2038","51","5092","1531","2480","2078.3","KKREE_OCCUPY_SEVERAL_HIVER_WORLDS","","","","","","","",""
"-2029","62","5100","1537","2489","2082.3","HIVER-KKREE_WAR_BEGINS","","","","","","","",""
"IMP","ASL","KKR","VIL(PI/VI)","SOL","ZHO","EVENT","","","","","","","",""
"-500K","-560K","-400K","380K","495K-BC","-220K","ANCIENT_CITIES_ARISE","","","","","","","",""
"-400K","-530K","-325K","300K","395K","-170K","ANCIENTS_THRIVE,_HUMANS_TRANSPLANTED","","","","","","","",""
"-2023","69","5105","1542","2495","2085.2","HIVE_FEDERATION_ESTABLISHED.__NAVY_BUILT","","","","","","","",""
"-2018","74","5109","1546","2500","2087.2","HIVER_MANIPULATIONS_OF_KKREE_WORLDS_START","","","","","","","",""
"-2013","80","5113","1550","2505","2089.3","HIVER-KKREE_WAR_ENDS","","","","","","","",""
"-2000","95","5124","1560","2518","2095.2","1ST_ZHO._CONTACT_WITH_VILANI","","","","","","","",""
"-1999","96","5125","1560","2519","2095.3","ASLAN_DEVELOP_J-DRIVE","","","","","","","",""
"-1980","118","5141","1575","2538","2104.2","1ST_ASLAN_CONTACT_WITH_HUMANS","","","","","","","",""
"-1802","32","5289","1711","2716","2183.1","1ST_HUMAN_CONTACT_WITH_HIVERS","","","","","","","",""
"-1776","350","5310","1730","2742","2194.2","COLLAPSE_OF_RULE_OF_MAN.__LONG_NIGHT_BEGINS","","","","","","","",""
"-1700","437","5374","1788","2818","2228.1","VARGR_PILLAGING_ENDS","","","","","","","",""
"-1690","448","5382","1796","2828","2232.2","TERRAN_MERCANTILE_COMMUNITY_ESTABLISHED","","","","","","","",""
"-1658","485","5409","1820","2860","2246.3","SACK_OF_GASHILEAN.__VARGR_ENCLAVES_SETTLED","","","","","","","",""
"-1526","635","5519","1921","2992","2305.1","INTERSTELLAR_TRADE_CEASES.__LONG_NIGHT_DEEPENS","","","","","","","",""
"-1511","653","5531","1932","3007","2311.3","SOLOMANI_TRADERS_CONTACT_DARRIANS","","","","","","","",""
"-1118","1101","5858","2232","3400","2485.2","1ST_ASLAN_BORDER_WAR_BEGINS","","","","","","","",""
"-1110","1110","5865","2238","3408","2488.3","OLD_EARTH_UNION_CREATED","","","","","","","",""
"-1044","1185","5920","2288","3474","2518.1","ASLAN_FIRST_CROSS_GREAT_RIFT","","","","","","","",""
"-1000","1235","5956","2322","3518","2537.2","ZHO._CONSULATE_REACHES_PRESENT_SIZE","","","","","","","",""
"-924","1322","6020","2380","3594","2571.1","DARRIANS_REACH_TL13.__SUN_DESTABILISES","","","","","","","",""
"-650","1635","6248","2589","3868","2692.2","SYLEAN_FEDERATION_ESTABLISHED","","","","","","","",""
"-630","1658","6264","2604","3888","2701.1","ISLAND_SECTORS_COLONISED","","","","","","","",""
"-399","1921","6457","2780","4119","2803.1","SWORD_WORLDS_COLONISATION_BEGINS","","","","","","","",""
"-200","2148","6622","2932","4318","2891.1","1ST_HUMAN_CONTACT_WITH_KKREE","","","","","","","",""
"-186","2164","6634","2943","4332","2897.2","1ST_SWORD_WORLD_CONFEDERATION","","","","","","","",""
"-110","2251","6697","3001","4405","2931.1","SHUDUSHAM_CONCORDS","","","","","","","",""
