"CRATE VOL","CARGO WT","LOADED WT","COST (CR)","HP","REMARKS","","","",""
"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field9","Field10"
"BLANK.BMP","4A.BMP C C 00FF00","4A C C 35 H 000000","","4A.BMP","","","","",""
"BLANK.BMP","4B.BMP C C 00FF00","4B C C 35 H 000000","","4B.BMP","","","","",""
"BLANK.BMP","4C.BMP C C 00FF00","4C C C 35 H 000000","","4C.BMP","","","","",""
"BLANK.BMP","4D.BMP C C 00FF00","4D C C 35 H 000000","","4D.BMP","","","","",""
"","","","","","","","","",""
"CRATE VOL","CARGO WT","LOADED WT","COST (CR)","HP","REMARKS","","","",""
"2CF","40","50","20","1","16" CUBE","","","",""
"10CF","200","230","50","4","","","","",""
"27CF","540","600","100","8","3` CUBE","","","",""
"100CF","2000","2130","250","19","","","","",""
"125CF","2500","2650","300","23","5` CUBE","","","",""
"250CF","5000","5240","450","36","","","","",""
"","","","","","","","","",""
"PALLET VOL","CARGO WT","LOADED WT","COST (CR)","HP","REMARKS","","","",""
"27SF","540","550","20","1","","","","",""
"125SF","2500","2530","50","4","","","","",""
"","","","","","","","","",""
"CONTAINER","CF","AREA SF","HP","SIZE","MAX GROSS","","","",""
"4A","4000","1800","1350","6","96000","","","",""
"4B","3000","1400","","","72000","","","",""
"4C","2000","1000","750","5","48000","","","",""
"4D","1000","600","450","4","24000","","","",""
"","","","","","","","","",""
"","","EMPTY WT","COST (CR)","EMPTY WT","COST (CR)","EMPTY WT","COST (CR)","EMPTY WT","COST (CR)"
"TYPE","DESC","4A","","4B","","4C","","4D",""
"00/8","GENL PURPOSE","16200","18000","","","9000","10000","5400","6000"
"05/8","SEALED","16200","54000","","","9000","30000","5400","18000"
"32/8","CONTROLLED","16600","65600","","","9200","35800","5500","20900"
"50/8","OPEN TOP","14200","16000","","","8000","9000","4900","5500"
"55/8","OPEN FRAME","9000","10800","","","5000","6000","3000","3600"
"60/8","PLATFORM","3600","4000","","","1800","2000","900","1000"
"67/8","MODULAR","17000","5400","","","9400","30000","5600","18000"
"70/8","TANK","18600","106300","","","9400","49500","4700","20600"
"90/8","HABITAT","39000","163100","","","23400","87100","12600","49100"
