"TYPE","INNER","INLIFE","OUTLIFE","SNOW","OUTER"
"ORBITAL ZONES","","","","",""
"TYPE","INNER","INLIFE","OUTLIFE","SNOW","OUTER"
"A0","0.54","7","9.6","37","110"
"A5","0.38","3.6","4.9","19","76"
"F0","0.32","2.4","3.3","13","64"
"F5","0.26","1.6","2.2","8.5","52"
"G0","0.22","1.2","1.6","6.1","44"
"G5","0.19","0.84","1.2","4.4","38"
"K0","0.16","0.62","0.84","3.2","32"
"K5","0.12","0.37","0.5","1.9","25"
"M0","0.1","0.24","0.33","1.3","20"
"M5","0.042","0.1","0.14","0.52","10"
"M8","0.013","0.03","0.04","0.16","10"
