"HEX","NAME","HiPorts","LoPorts","SpacePorts"
"1120","HSUISHLESH","0","0","0"
"1214","BOSKONE","0","0","0"
"1216","LUDMILLA","0","0","0"
"0914","ALPHANOR","0","0","0"
"2312","MENELAUS","0","0","0"
"2017","HARIKSIAT","0","0","0"
"2114","SITHUAN_HSARR","0","0","0"
"2118","DZADWAHTYAN","0","0","0"
"2213","HSUARRDZAN","0","0","0"
"2218","MUAN_KWOYEN","0","0","0"
"2319","SHULGIASU","0","0","0"
"2411","SURT","0","0","0"
"2414","ISSEYDO","0","0","0"
"2415","SHANI","0","0","0"
"2418","KHALIKKAM","0","0","0"
"2420","ARRUKIR","0","0","0"
"1919","MERGANSER","0","0","0"
"2419","ZAYEEL","0","0","0"
"1720","VEGA","0","0","0"
"2012","CATHAY","0","0","0"
"2015","DUIKIN_TYUI","0","0","0"
"1718","HSUILZISH","0","0","0"
"1711","KASAAN","0","0","0"
"1813","WANISH_TYO","0","0","0"
"1814","TSAMIS","0","0","0"
"1816","MUAN_ISSLER","0","0","0"
"1818","ASTAGZ_TYUI","0","0","0"
"1911","DEPOT","0","0","0"
"1912","GALISHGU","0","0","0"
"1917","ASTERR_TYUI","0","0","0"
"2011","ANDIIRISH","0","0","0"
"1717","MUAN_GWI**","0","0","0"
"2617","IMKHAMMASH","0","0","0"
"2812","NISINASHA","0","0","0"
"2720","NYARLATHOTEP","0","0","0"
"2714","PINNASHDUG","0","0","0"
"2713","KHUGI","0","0","0"
"2618","CATANIA","0","0","0"
"2612","MIMIIS","0","0","0"
"2518","GANESH","0","0","0"
"2517","MURPHY","0","0","0"
"2516","URIZEN","0","0","0"
"2514","MANDRAKE","0","0","0"
"2911","SATHYOS","0","0","0"
"2513","DIPUSHKA","0","0","0"
"3218","LAKAMSAL","0","0","0"
"3219","ONATHY","0","0","0"
"3217","CEPHESA","0","0","0"
"3213","LUDOVIC","0","0","0"
"3113","SASHINGUN","0","0","0"
"3017","ALTIPLANO","0","0","0"
"3015","UKU","0","0","0"
"2920","BANASDAN*","0","0","0"
"2918","NORICUM","0","0","0"
"2915","PAJANG","0","0","0"
"2913","NEWCOMB","0","0","0"
"2912","RILD","0","0","0"
"2820","AQILAT","0","0","0"
"3011","ARIEL","0","0","0"
"2816","IMMIR","0","0","0"
"0826","MUNILGAN","0","0","0"
"0628","BAJAVANANG","0","0","0"
"0721","AKHAMIN","0","0","0"
"0722","GAEA*","0","0","0"
"0723","TONOPAH","0","0","0"
"0726","HALO","0","0","0"
"0729","EDAAZUN","0","0","0"
"0822","COLMAR","0","0","0"
"0823","SHIRANSAR","0","0","0"
"0825","DURIIM","0","0","0"
"0626","ALBRECHT","0","0","0"
"0527","BASSE_TERRE","0","0","0"
"0824","RANULF","0","0","0"
"0123","JARSLAV","0","0","0"
"0624","YORK","0","0","0"
"0121","OZ","0","0","0"
"0528","KIDASHI","0","0","0"
"0125","KISHAKHPAP","0","0","0"
"0126","BEAL","0","0","0"
"0224","SHAALGAR","0","0","0"
"0226","LIMERICK","0","0","0"
"0326","ENELDUN","0","0","0"
"0330","KRYPTON","0","0","0"
"0424","GUSTAV","0","0","0"
"0426","EYCK","0","0","0"
"0524","IRASHDAA","0","0","0"
"0230","ALIZARIIN","0","0","0"
"1530","SHULIMIK","0","0","0"
"1326","SHULGIILI","0","0","0"
"1327","ENKI_KALAMMA","0","0","0"
"1424","KARKHAR","0","0","0"
"1427","SHURUPPAK","0","0","0"
"1429","IILIKE","0","0","0"
"1522","ALTAIR","0","0","0"
"1523","ZAGGISI","0","0","0"
"1629","SIRIUS","0","0","0"
"1529","MARKHASHI","0","0","0"
"1622","APISHAL","0","0","0"
"1324","SHULGI","0","0","0"
"0929","LANGELOS","0","0","0"
"1526","MESHAN","0","0","0"
"0924","ALSATIA","0","0","0"
"1224","KINUNIR","0","0","0"
"1024","FORMALHAUT","0","0","0"
"0923","SEBASTA","0","0","0"
"0926","ISHUMLED","0","0","0"
"1022","HERAKLES","0","0","0"
"1024","NEPAL-IN-EXILE","0","0","0"
"1026","KHULAMPU","0","0","0"
"1222","DINGIR**","0","0","0"
"1127","GASHIDDA","0","0","0"
