"HEX","NAME","HiPorts","LoPorts","SpacePorts"
"3228","FENL`S_GREN","0","0","0"
"3233","RAMIVA","0","0","0"
"3235","TRIN","0","0","0"
"3226","HAZEL","0","0","0"
"0101","ZEYCUDE","0","0","0"
"0102","RENO","0","0","0"
"0103","ERRERE","0","0","0"
"0104","CANTREL","0","0","0"
"0108","GYOMAR","0","0","0"
"0111","ATSON","0","0","0"
"0114","YIKTOR","0","0","0"
"0115","XHOSA","0","0","0"
"0122","JUNCTION","0","0","0"
"0129","UNIQUA","0","0","0"
"0130","GAROO","0","0","0"
"0133","EMAPE","0","0","0"
"0139","RAWEH","0","0","0"
"0140","876-574","0","0","0"
"0202","THENGO","0","0","0"
"0212","PRINX","0","0","0"
"0215","RUSHU","0","0","0"
"0218","BAEL","0","0","0"
"0223","STERN-STERN","0","0","0"
"0230","886-945","0","0","0"
"0231","SAXE","0","0","0"
"0236","ANDOR","0","0","0"
"0240","769-422","0","0","0"
"0301","RIO","0","0","0"
"0303","GESENTOWN","0","0","0"
"0304","CHRONOR*","0","0","0"
"0307","ATSA/CR","0","0","0"
"0311","MIZEN-FEL","0","0","0"
"0321","NONYM","0","0","0"
"0325","LABERV","0","0","0"
"0326","EKTRON","0","0","0"
"0332","GOTHE","0","0","0"
"0333","MIRRIAM","0","0","0"
"0336","CANDORY","0","0","0"
"0340","WONDERAY","0","0","0"
"0412","SANSIBAR","0","0","0"
"0414","ATTICA","0","0","0"
"0416","RETINAE","0","0","0"
"0421","ZAMINE","0","0","0"
"0425","ENGRANGE","0","0","0"
"0426","ILIUM","0","0","0"
"0427","ROGET","0","0","0"
"0429","KARDIN","0","0","0"
"0430","BULARIA","0","0","0"
"0432","JONE","0","0","0"
"0440","JINX","0","0","0"
"0503","WHENGE","0","0","0"
"0511","TERRA-NOVA","0","0","0"
"0512","ASMODEUS","0","0","0"
"0518","FAISAL","0","0","0"
"0526","RORRE","0","0","0"
"0527","MIRE*","0","0","0"
"0528","CONDARIA","0","0","0"
"0530","DORIANNA","0","0","0"
"0532","UCELLA","0","0","0"
"0533","PENELOPE","0","0","0"
"0534","KARIN","0","0","0"
"0538","WONSTAR","0","0","0"
"0539","FROIN","0","0","0"
"0601","ENLAS-DU","0","0","0"
"0605","ALGEBASTER","0","0","0"
"0607","RASATT","0","0","0"
"0608","NINJAR","0","0","0"
"0610","SHEYOU","0","0","0"
"0613","LEBEAU","0","0","0"
"0614","QUERION*","0","0","0"
"0618","DEKALB","0","0","0"
"0620","WINSTON","0","0","0"
"0622","TERANT 340","0","0","0"
"0624","JACENT","0","0","0"
"0625","494-908","0","0","0"
"0627","DARRIAN","0","0","0"
"0632","GOHATURE","0","0","0"
"0637","QUHAIATHAT","0","0","0"
"0638","LAKOU","0","0","0"
"0703","INDO","0","0","0"
"0704","NEREWHON","0","0","0"
"0705","terra","0","0","0"
"0710","STAVE","0","0","0"
"0712","RAPPS_WORLD","0","0","0"
"0717","THANBER","0","0","0"
"0720","ENTROPE","0","0","0"
"0721","TORMENT","0","0","0"
"0723","TRIFUGE","0","0","0"
"0724","NOSEA","0","0","0"
"0727","SPUME","0","0","0"
"0729","ATOR","0","0","0"
"0731","RALHE","0","0","0"
"0732","IDERATI*","0","0","0"
"0739","TONDOUL","0","0","0"
"0805","NARVAL","0","0","0"
"0807","PLAVEN","0","0","0"
"0808","QUARE","0","0","0"
"0810","FROND","0","0","0"
"0820","ANSELHOME","0","0","0"
"0822","CUNNONIC","0","0","0"
"0830","DEBARRE","0","0","0"
"0833","875-496","0","0","0"
"0837","OCHECATE","0","0","0"
"0838","MEWEY","0","0","0"
"0840","975-452","0","0","0"
"0901","CONDOYLE","0","0","0"
"0902","PUPARKIN","0","0","0"
"0904","CHWISTYOCH","0","0","0"
"0909","GOUGESTE","0","0","0"
"0911","CALORAN","0","0","0"
"0912","899-076","0","0","0"
"0915","QUARE","0","0","0"
"0919","ZETA-2","0","0","0"
"0921","HRUNTING","0","0","0"
"0922","TIZON","0","0","0"
"0927","NARSIL","0","0","0"
"0930","FLAMMARION","0","0","0"
"0931","ASTELTINE","0","0","0"
"0938","INCHIN","0","0","0"
"0940","SINGER","0","0","0"
"1004","ESALIN","0","0","0"
"1005","RUBY","0","0","0"
"1006","EMERALD","0","0","0"
"1010","ZENOPIT","0","0","0"
"1011","ARDEN","0","0","0"
"1018","CHOLEOSTI","0","0","0"
"1020","MARGESI","0","0","0"
"1022","COLADA","0","0","0"
"1026","ANDURIL","0","0","0"
"1031","567-908","0","0","0"
"1037","AVASTAN","0","0","0"
"1040","KWAI CHING","0","0","0"
"1102","RIVERLAND*","0","0","0"
"1103","CLAN","0","0","0"
"1106","JEWELL*","0","0","0"
"1110","ZIRCON","0","0","0"
"1116","FRENZIE*","0","0","0"
"1118","GARDA_VILIS","0","0","0"
"1119","VILIS","0","0","0"
"1121","MJOLNIR","0","0","0"
"1123","JOYEUSE","0","0","0"
"1126","ORCRIST","0","0","0"
"1130","ENOS","0","0","0"
"1131","FALDOR","0","0","0"
"1132","BOWMAN","0","0","0"
"1133","SQUALLIA","0","0","0"
"1138","TARSUS","0","0","0"
"1201","AO-DAI","0","0","0"
"1204","MONGO","0","0","0"
"1209","UTOLAND","0","0","0"
"1210","PEQUAN","0","0","0"
"1212","DIGITIS","0","0","0"
"1213","EDININA","0","0","0"
"1214","728-907","0","0","0"
"1216","STELLATIO","0","0","0"
"1217","ARKADIA","0","0","0"
"1221","GUNGNIR","0","0","0"
"1223","GRAM*","0","0","0"
"1225","EXCALIBUR","0","0","0"
"1232","WALSTON","0","0","0"
"1233","FLEXOS","0","0","0"
"1237","COLLACE","0","0","0"
"1238","PAVABID","0","0","0"
"1305","NAKEGE","0","0","0"
"1307","LYSEN","0","0","0"
"1311","TREMOUS_DEX","0","0","0"
"1315","MIRRIAM","0","0","0"
"1320","SAURUS","0","0","0"
"1324","TYRFING","0","0","0"
"1325","SACNOTH","0","0","0"
"1329","CALADBOLG","0","0","0"
"1331","DATRILLIAN","0","0","0"
"1332","NIRTON","0","0","0"
"1337","JUDICE","0","0","0"
"1339","TREXALON","0","0","0"
"1340","MOTMOS","0","0","0"
"1401","FOELON","0","0","0"
"1402","FARREACH","0","0","0"
"1411","RANGENT","0","0","0"
"1413","DENOTAM","0","0","0"
"1417","FICANT","0","0","0"
"1424","BEATER*","0","0","0"
"1429","GUNN","0","0","0"
"1430","CALIBURN","0","0","0"
"1433","NOCTOCOL","0","0","0"
"1434","TARKINE","0","0","0"
"1435","DALLIA","0","0","0"
"1436","TALOS","0","0","0"
"1510","871-438","0","0","0"
"1511","TIONALE","0","0","0"
"1515","CALIT","0","0","0"
"1519","ASGARD","0","0","0"
"1520","TAVONNI","0","0","0"
"1522","DYRNWYN","0","0","0"
"1523","DURENDAL","0","0","0"
"1524","HOFUD","0","0","0"
"1525","STING","0","0","0"
"1526","BITER","0","0","0"
"1529","STEEL","0","0","0"
"1531","DAWNWORLD","0","0","0"
"1532","ELIXABETH","0","0","0"
"1533","FORINE","0","0","0"
"1537","MERTACTOR*","0","0","0"
"1604","LOUZY","0","0","0"
"1607","GRANT","0","0","0"
"1611","PHLUME","0","0","0"
"1626","IRON","0","0","0"
"1627","BRONZE","0","0","0"
"1628","MITHRIL","0","0","0"
"1631","TALCHEK","0","0","0"
"1632","MILAGRO","0","0","0"
"1634","PAGATON","0","0","0"
"1635","BINGES","0","0","0"
"1637","MILLE_FALCS","0","0","0"
"1705","EFATE","0","0","0"
"1706","ALELL","0","0","0"
"1711","EXTOLAY","0","0","0"
"1719","LANTH*","0","0","0"
"1721","ARBA","0","0","0"
"1727","WARDN","0","0","0"
"1728","OLYMPIA","0","0","0"
"1729","SMOUG","0","0","0"
"1731","GROTE","0","0","0"
"1733","LYDIA","0","0","0"
"1736","MELIOR","0","0","0"
"1737","EGYPT","0","0","0"
"1739","ASTER","0","0","0"
"1802","YRES","0","0","0"
"1803","MENORB","0","0","0"
"1805","UAKYE","0","0","0"
"1806","WHANGA","0","0","0"
"1807","KNORBES","0","0","0"
"1808","FORBOLDN","0","0","0"
"1809","RUIE","0","0","0"
"1810","JENGHE","0","0","0"
"1811","DINOM","0","0","0"
"1815","GHANDI","0","0","0"
"1817","VICTORIA","0","0","0"
"1822","RABWHAR","0","0","0"
"1824","ADABICCI","0","0","0"
"1825","ZAIBON","0","0","0"
"1826","TENALPHA","0","0","0"
"1836","CALLIA","0","0","0"
"1903","PIXIE","0","0","0"
"1904","BOUGHENE","0","0","0"
"1909","HEFRY","0","0","0"
"1910","REGINA*","0","0","0"
"1912","DINOMN","0","0","0"
"1916","YYLAVEN","0","0","0"
"1918","SONTHERT","0","0","0"
"1920","DGANZIO","0","0","0"
"1924","LANIC","0","0","0"
"1927","SPIRELLE","0","0","0"
"1932","MITHRAS","0","0","0"
"1934","WEISS","0","0","0"
"1935","WINDSOR","0","0","0"
"1937","OVERNALE","0","0","0"
"1938","NEW_ROME","0","0","0"
"1939","CRAW","0","0","0"
"2005","FERI","0","0","0"
"2007","ROUP","0","0","0"
"2011","WYPOC","0","0","0"
"2024","DERCHON","0","0","0"
"2035","AKI","0","0","0"
"2036","GLISTEN*","0","0","0"
"2038","TRANE","0","0","0"
"2106","PSCIAS","0","0","0"
"2110","YORI","0","0","0"
"2111","DJINNI","0","0","0"
"2112","RECH","0","0","0"
"2124","LUNION*","0","0","0"
"2125","SHIRENE","0","0","0"
"2128","PENKWHAR","0","0","0"
"2129","HARVOSETTE","0","0","0"
"2132","CENTRY","0","0","0"
"2134","CALEDONIA","0","0","0"
"2137","SOREL","0","0","0"
"2138","HOROSHO","0","0","0"
"2140","ROMAR","0","0","0"
"2201","DENTUS","0","0","0"
"2202","KINORB","0","0","0"
"2204","BECKS_WORLD","0","0","0"
"2205","ENOPE","0","0","0"
"2207","WOCHIERS","0","0","0"
"2212","KKIRKA","0","0","0"
"2215","QUOPIST","0","0","0"
"2224","CARSE","0","0","0"
"2228","PERSEPHONE","0","0","0"
"2231","MARASTAN","0","0","0"
"2232","CROUT","0","0","0"
"2233","TIREM","0","0","0"
"2234","INTHE","0","0","0"
"2236","TSARINA","0","0","0"
"2237","WURZBURG","0","0","0"
"2303","YORBUND","0","0","0"
"2306","SHINOTHY","0","0","0"
"2308","ALGINE","0","0","0"
"2309","YURST","0","0","0"
"2311","TREECE","0","0","0"
"2313","ECHISTE","0","0","0"
"2314","PIREMA","0","0","0"
"2317","RHISE","0","0","0"
"2319","IVENDO","0","0","0"
"2321","QUIRU","0","0","0"
"2322","GORRAM","0","0","0"
"2323","RESTEN","0","0","0"
"2324","CAPON","0","0","0"
"2325","SHARRIP","0","0","0"
"2327","STROUDEN","0","0","0"
"2331","BICORNN","0","0","0"
"2334","FFUDN","0","0","0"
"2336","BENDOR","0","0","0"
"2402","HEYA","0","0","0"
"2405","KENG","0","0","0"
"2406","MOUGHAS","0","0","0"
"2408","RETHE","0","0","0"
"2410","INTHE","0","0","0"
"2411","KEANOU","0","0","0"
"2414","TUREDED","0","0","0"
"2415","VREIBEFGER","0","0","0"
"2416","LA`BELLE","0","0","0"
"2417","EQUUS","0","0","0"
"2418","ICETINA","0","0","0"
"2419","COGRI","0","0","0"
"2420","SKULL","0","0","0"
"2425","GANDR","0","0","0"
"2426","DROLRAW","0","0","0"
"2509","PAYA","0","0","0"
"2510","DHIAN","0","0","0"
"2512","KINORB","0","0","0"
"2514","GILEDEN","0","0","0"
"2519","PANNET","0","0","0"
"2520","GARRINCSKI","0","0","0"
"2521","HERONI","0","0","0"
"2523","BYRET","0","0","0"
"2527","PIMANE","0","0","0"
"2534","BURTSON","0","0","0"
"2536","SQUANNINE","0","0","0"
"2537","DOBHAM","0","0","0"
"2538","PYRAMUS","0","0","0"
"2539","THISBE","0","0","0"
"2540","ARAMIS","0","0","0"
"2602","CORFU","0","0","0"
"2607","FOCALINE","0","0","0"
"2612","MACENE","0","0","0"
"2613","FULACIN","0","0","0"
"2620","NATOKO","0","0","0"
"2621","FOSEY","0","0","0"
"2624","MERCURY","0","0","0"
"2627","TIVID","0","0","0"
"2637","ROBIN","0","0","0"
"2638","DMARA","0","0","0"
"2639","KELTCHER","0","0","0"
"2701","LABLON","0","0","0"
"2706","HEGUZ","0","0","0"
"2708","VIOLANTE","0","0","0"
"2712","RISEK","0","0","0"
"2715","POROZLO","0","0","0"
"2716","RHYLANOR*","0","0","0"
"2720","LONESEDA","0","0","0"
"2726","CAREY","0","0","0"
"2728","DUALE","0","0","0"
"2731","TUSSINIAN","0","0","0"
"2733","EDENELT","0","0","0"
"2735","CONWAY","0","0","0"
"2739","DODDS","0","0","0"
"2811","VALHALLA","0","0","0"
"2812","ZIVIJE","0","0","0"
"2814","JAE_TELLONA","0","0","0"
"2818","GEROME","0","0","0"
"2824","CATUZ","0","0","0"
"2827","MELETO","0","0","0"
"2828","HEXOS","0","0","0"
"2830","PADASE","0","0","0"
"2832","LEANDER","0","0","0"
"2833","PEPERNIUM","0","0","0"
"2834","TRALTHA","0","0","0"
"2839","FARQUAHAR","0","0","0"
"2905","PAVANNE","0","0","0"
"2906","CARSTEN","0","0","0"
"2908","ZILA","0","0","0"
"2912","HENOZ","0","0","0"
"2913","CELEPINA","0","0","0"
"2918","GITOSY","0","0","0"
"2924","MORAN","0","0","0"
"2927","MAITZ","0","0","0"
"2930","MAINZ","0","0","0"
"2933","RAYDRAD","0","0","0"
"2934","ZYRA","0","0","0"
"2935","MURCHISON","0","0","0"
"2936","HAMMERMIUM","0","0","0"
"2940","THORNNASTOR","0","0","0"
"3001","JESEDIPERE","0","0","0"
"3002","YEBAB","0","0","0"
"3003","NASEMIN","0","0","0"
"3004","ZYKOCA","0","0","0"
"3005","ARAMANX","0","0","0"
"3008","PYSADI","0","0","0"
"3010","L`OUEL_D`DIEU","0","0","0"
"3015","BELIZO","0","0","0"
"3016","KEGENA","0","0","0"
"3017","HERONI","0","0","0"
"3019","457-973","0","0","0"
"3020","SOMEM","0","0","0"
"3021","BRODIE","0","0","0"
"3022","RORISE","0","0","0"
"3024","JOKOTRE","0","0","0"
"3025","FORNICE","0","0","0"
"3026","GRILLE","0","0","0"
"3029","PALLIQUE","0","0","0"
"3030","NEXINE","0","0","0"
"3032","KATARULU","0","0","0"
"3035","PRILISSA","0","0","0"
"3038","TEE-TEE-TEE","0","0","0"
"3039","YOUGHAL","0","0","0"
"3040","TENELPHI","0","0","0"
"3102","RUGBIRD","0","0","0"
"3103","TOWERS","0","0","0"
"3104","FENETEMAN","0","0","0"
"3107","LEWIS","0","0","0"
"3110","ARAMIS*","0","0","0"
"3111","VINORIAN","0","0","0"
"3112","NUTEMA","0","0","0"
"3114","HUDERU","0","0","0"
"3118","CAPATWE","0","0","0"
"3119","VANEJEN","0","0","0"
"3123","NADRIN","0","0","0"
"3124","MORA*","0","0","0"
"3138","ZEPHYR","0","0","0"
"3139","CHAMOIS","0","0","0"
"3202","JUNIDY","0","0","0"
"3207","PATINIR","0","0","0"
"3209","NATOKO","0","0","0"
"3210","REACHER","0","0","0"
"3212","MARGESI","0","0","0"
"3216","BEVEY","0","0","0"
"3218","TACAXEB","0","0","0"
"3220","POWAZA","0","0","0"
"3223","DOJODO","0","0","0"
