"TL","Type","Thrust","Fuel","Cost","AirFrame"
"5","Basic Propellor","8","2","5","Fast Subsonic"
"6","High Performance Propellor","16","3","10","Fast Subsonic"
"6","High Performance Turboprop","25","5","20","Fast Subsonic"
"6","High Performance Turbojet","30","9","30","Supersonic"
"6","Basic Ramjet","50","40","50","Hypersonic"
"6","High Performance Ramjet","65","50","60","Hypersonic"
"6","Basic Rocket","50","80","50","Hypersonic"
"6","High Performance Rocket","65","100","60","Hypersonic"
"7","Basic Turboprop","20","4","15","Fast subsonic"
"7","Basic Turbojet","25","6.5","25","Supersonic"
"7","Basic Turbofan","30","7","35","Supersonic"
"7","High Performance Turbofan","35","8","40","Supersonic"
