"SubSectorN","Sector","SubSector","Notes"
"Kraxin","Glimmerdrift Reaches","F"," "
"Poonch","Glimmerdrift Reaches","J"," "
"Verge","Glimmerdrift Reaches","M"," "
"Srys","Old Expanses","E"," "
"SUBSEC-A","REAVERS DEEP","A",""
"SUBSEC-J","REAVERS DEEP","J",""
"Aulryakh","RIFTSPAN REACHES","A",""
"Trawo","RIFTSPAN REACHES","E",""
"Iyhaseakh","RIFTSPAN REACHES","H",""
"Ftyoauial","RIFTSPAN REACHES","M",""
"Jikhyrleirla","RIFTSPAN REACHES","J",""
"Tlianke","HINTERWORLDS","B",""
"Cromar","HINTERWORLDS","G",""
"Sontra","HINTERWORLDS","L",""
"Aqulia","HINTERWORLDS","P",""
"Mapepire","BEYOND","A",""
"Liberty Hall","BEYOND","B",""
"Die Weltbund","BEYOND","C",""
"Mal'Gnar Radiant","BEYOND","D",""
"Delta","BEYOND","E",""
"Metchi' Algwa","BEYOND","F",""
"Northeast Middle Byd","BEYOND","G",""
"Darkling Regions","BEYOND","H",""
"Zydar","BEYOND","I",""
"Middle Beyond","BEYOND","J",""
"I'Sred*Ni Heptad","BEYOND","K",""
"Aranopia","BEYOND","L",""
"The Spinward Drift","BEYOND","M",""
"I-Galathriel","BEYOND","N",""
"Storm","BEYOND","O",""
"Aslani","BEYOND","P",""
"Apge","CORE","A",""
"Perite","CORE","B",""
"Ameros","CORE","C",""
"Shinkan","CORE","D",""
"Sanches","CORE","E",""
"Mekee","CORE","F",""
"Core","CORE","G",""
"Kaskii","CORE","H",""
"Bunkeria","CORE","I",""
"Cemplas","CORE","J",""
"Chant","CORE","K",""
"Dingtra","CORE","L",""
"Cadion","CORE","M",""
"Ch'naar","CORE","N",""
"Dunea","CORE","O",""
"Saregon","CORE","P",""
"Khouth","CORRIDOR","A",""
"Khukish","CORRIDOR","B",""
"Lemish","CORRIDOR","C",""
"The Narrows","CORRIDOR","D",""
"Ian","CORRIDOR","E",""
"Strand","CORRIDOR","F",""
"Naadi","CORRIDOR","G",""
"Uantil","CORRIDOR","H",""
"Shush","CORRIDOR","I",""
"The Empty Void","CORRIDOR","J",""
"Atu'L","CORRIDOR","K",""
"Kivu","CORRIDOR","L",""
"Two Worlds","CORRIDOR","M",""
"Ashishinpar","CORRIDOR","N",""
"Sinta","CORRIDOR","O",""
"Sashrakusha","CORRIDOR","P",""
"Mimu","DAGUDASHAAG","A",""
"Old Suns","DAGUDASHAAG","B",""
"Arnakhish","DAGUDASHAAG","C",""
"IIradu","DAGUDASHAAG","D",""
"Shallows","DAGUDASHAAG","E",""
"Ushra","DAGUDASHAAG","F",""
"Khandi","DAGUDASHAAG","G",""
"Kuriishe","DAGUDASHAAG","H",""
"Zeda","DAGUDASHAAG","I",""
"The Remnants","DAGUDASHAAG","J",""
"Pact","DAGUDASHAAG","K",""
