"Name","Location","SDAHPGLT","Base","Remarks","Zone","Gas","Sector","SubSector","SubSectorN","CargoBase","Trade","Star1","Star2","Star3","HW-SDAHPLT","Algn","PAG","ZonedFor","Detailed","Hard1","Hard2","Hard3","Hard4"
"Station One","102","E3521007","","Rs","A","","BEYOND","A","MAPEPIRE","8700","Lo Ni Po","F3 D","","","ESSRLNA","Pm","320","Research facility","","","","",""
"Hunyadi","103","A687799C","N","Known for its wines","","G","BEYOND","A","MAPEPIRE","4200","Ag Ri","F5 VI","M1 D","","AMDWHEH","Pm","203","","","","","",""
"Barba Amarilla","104","C2404458","","","","G","BEYOND","A","MAPEPIRE","6800","De Ni Po","G8 V","","","CSSDMMA","Pm","504","","","","","",""
"Shalimar","105","B86764A7","","Resort world","","","BEYOND","A","MAPEPIRE","5700","Ag Ni Ri","G6 V","","","BLSWHEA","Pm","100","","","","","",""
"Lanthesandra","108","D9545766","","","","","BEYOND","A","MAPEPIRE","6600","Ag Ni","F5 D","M9 D","","DLSWMME","Pm","900","","","","","",""
"La Luz Negra","110","B8336808","","Areas with black sky","","","BEYOND","A","MAPEPIRE","4800","Na Ni Po","F0 V","","","BLTRHNA","Pm","500","","","","","",""
"Trocadentilius XIX","202","C140431B","","","","G","BEYOND","A","MAPEPIRE","7100","De Ni Po","G2 V","","","CSSDMLH","Pm","105","","","","","",""
"Figaro's","203","C5636555","","Fine foods","","","BEYOND","A","MAPEPIRE","7500","Ni Ri","F1 D","M6 D","","CMSRHME","Pm","300","","","","","",""
"Borgne","204","C99A6A78","","","","","BEYOND","A","MAPEPIRE","6800","Ni Wa","F3 V","","","CLEAHMA","Pm","600","","","","","",""
"Alpha Centre","205","A6687788","S","Exotic fruits & flowers","","","BEYOND","A","MAPEPIRE","3800","Ag Ri","F0 VI","M4 D","","AMSWHHA","Pm","800","","","","","",""
"Ip","207","B542AD9A","N","Orbits gas giant Benthall","","G","BEYOND","A","MAPEPIRE","2000","Hi In Po","M8 V","","","BMSRHEH","Pw","701","","","","","",""
"Gul","207","EA5AA599","S","Orbits gas giant Benthall","","G","BEYOND","A","MAPEPIRE","6900","Hi Wa","M8 V","","","ELSAHEH","Pw","701","","","","","",""
"Maximummer","209","C9666554","","","","","BEYOND","A","MAPEPIRE","6400","Ag Ni Ri","F3 V","","","CLSWHMR","Pm","510","","","","","",""
"Trayfowen","302","BC6264A9","I","Casino world","A","","BEYOND","A","MAPEPIRE","6900","Ni Ri","K9 V","M6 D","","BLSRHEH","Pm","700","?Casino","","","","",""
"Jararaca","303","E5754652","","","","","BEYOND","A","MAPEPIRE","8200","Ni","F8 D","","","EMDWMMR","Pm","910","","","","","",""
"Omega Sextans","304","A7678539","","","","","BEYOND","A","MAPEPIRE","4900","Ri","F4 V","M1 D","","AMSWHMH","Pm","520","","","","","",""
"Thorn","305","E3527792","T","","","","BEYOND","A","MAPEPIRE","6200","Po","F7 D","","","ESSRHER","Pm","600","","","","","",""
"Araaraga","309","E4466106","","","","G","BEYOND","A","MAPEPIRE","7600","Ag Ni","K7 V","","","ESSWHNE","Pc","615","","","","","",""
"Beaumonde","402","CA99974V","","Armaments & munitions","","","BEYOND","A","MAPEPIRE","3000","Hi In","K2 D","","","CLEWHMV","Pm","620","","","","","",""
"Vlad","403","D6636592","","Unusual entertainments","A","","BEYOND","A","MAPEPIRE","8200","Ni Ri","F8 D","M1 D","   D","DMSRHER","Pm","200","Dangerous entertainments","","","","",""
"Anastasia's Mate","404","C7863767","","","","","BEYOND","A","MAPEPIRE","7700","Lo Ni","G7 D","","","CMDWMMA","Pm","220","","","","","",""
"Lilith","405","D7665C73","","Unusually lovely women","A","","BEYOND","A","MAPEPIRE","6300","Ag Ni","F2 V","M7 D","","DMSWMMR","Pm","520","Siren females","","","","",""
"Between","409","A996701A","","","","","BEYOND","A","MAPEPIRE","3000","Ag","G9 D","","","ALEWHLH","Pc","100","","","","","",""
"Niquithah","410","A5667988","S","","","G","BEYOND","A","MAPEPIRE","3800","Ag Ri","F8 V","","","AMSWHHA","Pc","823","","","","","",""
"Opar Navis XVI","502","C8678726","","","","","BEYOND","A","MAPEPIRE","6600","Ri","F2 VI","M0 D","","CLSWHME","Pm","110","","","","","",""
"Kawstee Chiluhvehk","503","B4645955","","","","","BEYOND","A","MAPEPIRE","4500","Ag Ni","F6 D","","","BSSWMME","Pm","800","","","","","",""
"Jhezes","504","B3232509","","","","","BEYOND","A","MAPEPIRE","5900","Lo Ni Po","A6 V","","","BSTRMNH","Pm","100","","","","","",""
"Mapepire Balsayn","602","AVVV669F","","","","","BEYOND","A","MAPEPIRE","6500","Fl Ni","K5 V","","","AVVVHEH","Pm","300","","","","","",""
"Sinkaing-Uighur","603","C99A5228","","Known for its arts","","G","BEYOND","A","MAPEPIRE","6800","Ni Wa","F9 VI","","","CLEAMMA","Pm","302","","","","","",""
"Friedland","604","B5333107","","Formerly Die Weltbund","A","","BEYOND","A","MAPEPIRE","5700","Lo Ni Po","M2 V","M8 D","","BMTRMNA","Pm","210","Company world/lawless","","","","",""
"Virgin's Delight","605","B7697488","N","Matriarchal society","","","BEYOND","A","MAPEPIRE","5800","Ri","M8 D","","","BMSWHHA","Pm","800","","","","","",""
"Cave Canem","808","B986479C","","Large carnivores abound","A","","BEYOND","A","MAPEPIRE","6200","Ni","F1 VI","","","BLDWMEH","Pc","800","Dangerous carnivores","","","","",""
"Marketplace","810","B867AC4B","M","","","","BEYOND","A","MAPEPIRE","4100","Hi","F3 D","","","BLSWHMH","Pc","100","","","","","",""
"Thieves' World","902","X8656572","2","Tech level enforced","R","","BEYOND","B","LIBERTY HALL","10200","Ag Ni Ri","F5 V","","","XLSWHMR","Pc","320","Enforced Tech Level","","","","",""
"Fraldanhylla","906","A100234B","S","","","","BEYOND","B","LIBERTY HALL","7100","Lo Ni Va","M4 V","K0 D","","ASVDMMH","Pc","210","","","","","",""
"Dragonrest","907","B6864847","","","","G","BEYOND","B","LIBERTY HALL","5700","Ni","F7 VI","M7 D","   D","BMDWMMA","Pc","201","","","","","",""
"579-939","910","C7673D99","S","","","","BEYOND","B","LIBERTY HALL","7900","Lo Ni","M5 V","","","CMSWMEH","Pc","530","","","","","",""
"Bethoom","1005","B2001009","","","","G","BEYOND","B","LIBERTY HALL","7900","Lo Ni Va","G0 V","","","BSVDLNH","Pc","602","","","","","",""
"Kalturia","1007","CC62AA97","","","","","BEYOND","B","LIBERTY HALL","4700","Hi","F8 D","","","CLSRHEA","Pc","800","","","","","",""
"Arbellatra's Tiara","1104","D0003B97","I","Named for Empress","","G","BEYOND","B","LIBERTY HALL","8700","As Lo Ni Va","G4 V","M3 D","","DAVDMEA","Im","321","","","","","",""
"Ixchel","1105","A524200A","","Outpost","","","BEYOND","B","LIBERTY HALL","6000","Lo Ni","G3 V","M2 D","","AMTWMNH","Pc","100","","","","","",""
"Hardass","1108","C8782005","","Mining installation","","G","BEYOND","B","LIBERTY HALL","7500","Lo Ni","M5 V","","","CLDWMNE","Pc","605","","","","","",""
"Castle Keep","1110","E8592646","T","","","","BEYOND","B","LIBERTY HALL","9600","Lo Ni","G0 V","","","ELSWMME","Pc","800","","","","","",""
"Maggie's Nipples","1202","A8B6576A","","Mountainous planet","","","BEYOND","B","LIBERTY HALL","6000","Fl Ni","K0 V","","","ALEWMMH","Pc","","","","","","",""
"Jelemnar","1203","E5230005","","","","G","BEYOND","B","LIBERTY HALL","9500","Ba Lo Ni Po","M3 V","","","EMTRLNE","Pc","002","","","","","",""
"Liberty Hall","1207","A856327D","2","","","","BEYOND","B","LIBERTY HALL","6300","Lo Ni","F0 V","M5 VII","K4 VII","ALSWMMH","Pc","900","","","","","",""
"Wanderers' Rest","1301","B5836847","","","A","","BEYOND","B","LIBERTY HALL","6700","Ni Ri","F4 D","","","BMDRHMA","Pc","400","","","","","",""
"Gamma Centre","1303","B7446655","","","","G","BEYOND","B","LIBERTY HALL","4500","Ag Ni","F7 V","M4 D","","BMSWHME","Pc","604","","","","","",""
"Offutt's Station","1306","C66A6A79","","","","","BEYOND","B","LIBERTY HALL","6900","Ni Wa","F0 VI","","","CMSAHMH","Pc","710","","","","","",""
"Etaoin Shrdlu","1401","D6313004","","","","","BEYOND","B","LIBERTY HALL","7400","Lo Ni Po","G4 IV","","","DMTDMNR","Pc","300","","","","","",""
"Abteilung Drei","1402","E0006753","","","","","BEYOND","B","LIBERTY HALL","8300","As Na Ni Va","A2 IV","","","EAVDHMR","Pw","900","","","","","",""
"Platz","1501","D8715002","","","","","BEYOND","B","LIBERTY HALL","7200","Ni","F3 D","","","DLDDMNR","Pw","520","","","","","",""
"Reckinghausen","1504","C7666545","","","","G","BEYOND","B","LIBERTY HALL","6500","Ag Ni Ri","F7 V","","","CMSWHME","Pw","822","","","","","",""
"Drei Farben","1505","A000320D","2","Pleasure facilities","","","BEYOND","B","LIBERTY HALL","6300","As Lo Ni Va","F2 V","","","AAVDMNH","Pw","500","","","","","",""
"Nervenheilanstalt","1507","E5544103","","","","","BEYOND","B","LIBERTY HALL","8300","Ni","M2 V","","","EMSWMNR","Pw","100","","","","","",""
"Staatsbibliothek","1508","ACD7819A","N","Archives","","","BEYOND","B","LIBERTY HALL","5000","Fl","G5 V","","","ALEWHEH","Pw","520","","","","","",""
"Abyss","1601","B1003009","","Atmosphere actually E","","","BEYOND","B","LIBERTY HALL","7900","Lo Ni Va","M8 V","","","BSVDMNH","Pc","800","","","","","",""
"Pearl of Zandvoort","1602","C4847566","","","","","BEYOND","B","LIBERTY HALL","5600","Ag Ri","F1 VI","M6 D","","CSDWHME","Pc","100","","","","","",""
"Guildheim","1604","A535300B","M","","","","BEYOND","B","LIBERTY HALL","6100","Lo Ni","F3 IV","","","AMTWMNH","Pc","200","","","","","",""
