"Battalion","Bat-Men","Bat-Veh","Company","Com-Men","Com-Veh","Section","Sec-Men","Sec-Veh"
"LAB","406","89","5","","","","",""
"LAB","406","89","HHB","76","23","","",""
"LAB","406","89","HHB","76","","RCS","20","3"
"LAB","406","89","HHB","76","","RHC","6","1"
"LAB","406","89","HHB","76","","RMP","5","2"
"LAB","406","89","HHB","76","","REW","15","4"
"LAB","406","89","HHB","76","","RFC","20","10"
"LAB","406","89","HHB","76","","RSS","10","3"
"LAB","406","89","AMB","83","15","","",""
"LAB","406","89","AMB","83","","AMH","20","3"
"LAB","406","89","AMB","83","","AM1","21","4"
"LAB","406","89","AMB","83","","AM2","21","4"
"LAB","406","89","AMB","83","","AM3","21","4"
"LAB","406","89","BMB","83","15","","",""
"LAB","406","89","BMB","83","","BMH","20","3"
"LAB","406","89","BMB","83","","BM1","21","4"
"LAB","406","89","BMB","83","","BM2","21","4"
"LAB","406","89","BMB","83","","BM3","21","4"
"LAB","406","89","MES","50","8","","",""
"LAB","406","89","MES","50","","MSH","16","2"
"LAB","406","89","MES","50","","MS1","17","3"
"LAB","406","89","MES","50","","MS2","17","3"
"LAB","406","89","RSB","114","28","","",""
"LAB","406","89","RSB","114","","RSC","9","3"
"LAB","406","89","RSB","114","","RSM","60","10"
"LAB","406","89","RSB","114","","RSS","45","15"
