"Men","ID","Vehicle"
"5","AHC1","ASTRINC"
"5","AHC2","ASTRINC"
"5","AHC3","ASTRINFD"
"5","1HC4","ASTRINFD"
"6","AHQ1","ASTRIN"
"2","AMP1","AIRRAFT"
"2","AMP2","AIRRAFT"
"4","AEW1","ASTRIN"
"4","AEW2","ASTRIN"
"4","AEW3","ASTRIN"
"4","AEW4","ASTRIN"
"2","AFC1","AIRRAFT"
"2","AFC2","AIRRAFT"
"2","AFC3","AIRRAFT"
"2","AFC4","AIRRAFT"
"2","AFC5","AIRRAFT"
"2","AFC6","AIRRAFT"
"2","AFC7","AIRRAFT"
"2","AFC8","AIRRAFT"
"2","AFC9","AIRRAFT"
"2","AFCA","AIRRAFT"
"3","ASS1","GCARRIER"
"3","ASS2","GCARRIER"
"3","ASS3","GCARRIER"
"9","AAH1","ASTRINFD"
"9","AAH2","ASTRINFD"
"1","AAH3","GCARRIER"
"4","AAA1","SUNBURST"
"4","AAA2","SUNBURST"
"4","AAA3","SUNBURST"
"4","AAB1","SUNBURST"
"4","AAB2","SUNBURST"
"4","AAB3","SUNBURST"
"4","AAC1","SUNBURST"
"4","AAC2","SUNBURST"
"4","AAC3","SUNBURST"
"9","ABH1","ASTRINFD"
"9","ABH2","ASTRINFD"
"1","ABH3","GCARRIER"
"4","ABA1","SUNBURST"
"4","ABA2","SUNBURST"
"4","ABA3","SUNBURST"
"4","ABB1","SUNBURST"
"4","ABB2","SUNBURST"
"4","ABB3","SUNBURST"
"4","ABC1","SUNBURST"
"4","ABC2","SUNBURST"
"4","ABC3","SUNBURST"
"9","ACH1","ASTRINFD"
"9","ACH2","ASTRINFD"
"1","ACH3","GCARRIER"
"4","ACA1","SUNBURST"
"4","ACA2","SUNBURST"
"4","ACA3","SUNBURST"
"4","ACB1","SUNBURST"
"4","ACB2","SUNBURST"
"4","ACB3","SUNBURST"
"4","ACC1","SUNBURST"
"4","ACC2","SUNBURST"
"4","ACC3","SUNBURST"
"9","AMH1","ASTRINFD"
"9","AMH2","ASTRINFD"
"9","AMA1","ASTRINFD"
"4","AMA2","TERRAPIN"
"4","AMA3","TERRAPIN"
"9","AMB1","ASTRINFD"
"4","AMB2","TERRAPIN"
"4","AMB3","TERRAPIN"
"3","ASH1","GCARRIER"
"3","ASH2","GCARRIER"
"3","ASH3","GCARRIER"
"3","AMS1","GCARRIER"
"3","AMS2","GCARRIER"
"3","AMS3","GCARRIER"
"3","AMS4","GCARRIER"
"3","AMS5","GCARRIER"
"9","AMS6","HRV"
"9","AMS7","HRV"
"9","AMS8","HRV"
"9","AMS9","HRV"
"9","AMSA","HRV"
"3","ASA1","GCARRIER"
"3","ASA2","GCARRIER"
"3","ASA3","GCARRIER"
"3","ASA4","GCARRIER"
"3","ASA5","GCARRIER"
"3","ASB1","GCARRIER"
"3","ASB2","GCARRIER"
"3","ASB3","GCARRIER"
"3","ASB4","GCARRIER"
"3","ASB5","GCARRIER"
"3","ASC1","GCARRIER"
"3","ASC2","GCARRIER"
"3","ASC3","GCARRIER"
"3","ASC4","GCARRIER"
"3","ASC5","GCARRIER"
