"Battalion","Bat-Men","Bat-Veh","Company","Com-Men","Com-Veh","Section","Sec-Men","Sec-Veh"
"LIB","648","91","5","","","","",""
"LIB","648","91","IHC","128","27","","",""
"LIB","648","91","IHC","128","","IHQ","56","7"
"LIB","648","91","IHC","128","","IHC","6","1"
"LIB","648","91","IHC","128","","IMP","11","6"
"LIB","648","91","IHC","128","","ISP","24","6"
"LIB","648","91","IHC","128","","IMS","21","4"
"LIB","648","91","IHC","128","","ISS","10","3"
"LIB","648","91","ICA","154","15","","",""
"LIB","648","91","ICA","154","","IAH","10","3"
"LIB","648","91","ICA","154","","IA1","48","4"
"LIB","648","91","ICA","154","","IA2","48","4"
"LIB","648","91","ICA","154","","IA3","48","4"
"LIB","648","91","ICB","154","15","","",""
"LIB","648","91","ICB","154","","IBH","10","3"
"LIB","648","91","ICB","154","","IB1","48","4"
"LIB","648","91","ICB","154","","IB2","48","4"
"LIB","648","91","ICB","154","","IB3","48","4"
"LIB","648","91","ICC","154","15","","",""
"LIB","648","91","ICC","154","","ICH","10","3"
"LIB","648","91","ICC","154","","IC1","48","4"
"LIB","648","91","ICC","154","","IC2","48","4"
"LIB","648","91","ICC","154","","IC3","48","4"
"LIB","648","91","IFS","58","19","","",""
"LIB","648","91","IFS","58","","ISH","10","3"
"LIB","648","91","IFS","58","","ISA","12","4"
"LIB","648","91","IFS","58","","ISB","12","4"
"LIB","648","91","IFS","58","","ISC","12","4"
"LIB","648","91","IFS","58","","ISD","12","4"
