"ID","Item","Cost","Total Cost","Space","Spaces Left","Weight","Total Weight","Notes"
"1","Body Size","","","","","","",""
"2","Chassis","","","","","","",""
"3","Suspension","","","","","","",""
"4","Engine","","","","","","",""
"5","Gas Tank","","","","","","",""
"6","Petrol","","","","","","",""
"7","Petrol Tank","","","","","","",""
"8","Tyres","","","","","","",""
"9","Driver","","","","","","",""
"10","Gunner","","","","","","",""
"11","Passengers","","","","","","",""
"12","Weapon","","","","","","",""
"13","Weapon","","","","","","",""
"14","Weapon","","","","","","",""
"15","Weapon","","","","","","",""
"16","Weapon","","","","","","",""
"17","Weapon","","","","","","",""
"18","Weapon","","","","","","",""
"19","Weapon","","","","","","",""
"20","Accessory","","","","","","",""
"21","Accessory","","","","","","",""
"22","Accessory","","","","","","",""
"23","Accessory","","","","","","",""
"24","Accessory","","","","","","",""
"25","Accessory","","","","","","",""
"26","Accessory","","","","","","",""
"27","Accessory","","","","","","",""
"28","Accessory","","","","","","",""
"29","Accessory","","","","","","",""
"30","Accessory","","","","","","",""
"31","Accessory","","","","","","",""
"32","Accessory","","","","","","",""
"33","Accessory","","","","","","",""
"34","Cargo","","","","","","",""
"35","Armour","","","","","","",""
