"BASEPIC","TL","TT","TR","ML","MM","MR","BL","BB","BR","Field10"
"#Ships","","","","","","","","","",""
"#","Alien.cfg","","","","","","","","",""
"lines.bmp","Box.bmp 1 1 FFFFFF","Box.bmp c 1 FFFFFF","Box.bmp 43 1 FFFFFF","Box.bmp 1 c FFFFFF","Box.bmp c c FFFFFF","Box.bmp 43 c FFFFFF","Box.bmp 1 37 FFFFFF","Box.bmp c 37 FFFFFF","RACE+NAME 2 1 35 H 000000","Box.bmp 43 37 FFFFFF"
"","","","","","","","","","",""
"","","","","","","","","","",""
"#","Army.cfg","","","","","","","","",""
"","","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
"Box.bmp c c FFFFFF","","","","","","","","","",""
"Box.bmp 43 c FFFFFF","","","","","","","","","",""
"Box.bmp 1 37 FFFFFF","","","","","","","","","",""
"Box.bmp c 37 FFFFFF","","","","","","","","","",""
"Box.bmp 43 37 FFFFFF","","","","","","","","","",""
"A- 2 1 35 H 000000","","","","","","","","","",""
"# 2 7 35 H 000000","","","","","","","","","",""
"# 2 13 35 H 000000","","","","","","","","","",""
"DT=+ 2 19 35 H 000000","","","","","","","","","",""
"DR 2 25 35 H 000000","","","","","","","","","",""
"HP 2 31 35 H 000000","","","","","","","","","",""
"P 2 37 35 H 000000","","","","","","","","","",""
"A 2 43 35 H 000000","","","","","","","","","",""
"C 2 49 35 H 000000","","","","","","","","","",""
"TL12 23 37 35 H 000000","","","","","","","","","",""
"J 23 43 35 H 000000","","","","","","","","","",""
"G 23 49 35 H 000000","","","","","","","","","",""
"C 45 19 35 H 000000","","","","","","","","","",""
"P 45 25 35 H 000000","","","","","","","","","",""
"C 45 31 35 H 000000","","","","","","","","","",""
"A--12.bmp","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"#","Type CP - MERCENARY CRUISER","","","","","","","","",""
"lines.bmp","","","","","","","","","",""
"Box.bmp 1 1 FFFFFF","","","","","","","","","",""
"Box.bmp c 1 FFFFFF","","","","","","","","","",""
"Box.bmp 43 1 FFFFFF","","","","","","","","","",""
"Box.bmp 1 c FFFFFF","","","","","","","","","",""
