"Field1","Field2","Field3","Field5","Field6","Field8"
"TRANSFER TONNAGE","","","DT","",""
"60% SYSTEM FREIGHT","","","","",""
"90% SYSTEM PASSENGERS","","","","",""
"20% TRANSIENT PASSENGERS","","","","",""
"NUM","SHIP","CREW x 5","","",""
"","","","","",""
"","","","","",""
"EMPLOYEE SHUTTLES","","","","",""
"","","","","",""
"LASH","","","","",""
"","","","","",""
"ADMIN","","","8%","",""
"","EXECUTIVE","","","1","0.01"
"","LINE OFFICE","","","0.5","0.005"
"","CONCESSIONS","","","1","0.01"
"","LEGAL","","","0.3","0.003"
"","FINANCIAL","","","1","0.01"
"","PERSONNEL","","","1","0.01"
"","LABOUR RELATIONS","","","1","0.01"
"","RECORDS & DATA P.","","","0.2","0.002"
"","PUBLIC RELATIONS","","","0.3","0.003"
"","COMMERCIAL LIAISON","","","1","0.01"
"","MILITIARY LIAISON","","","0.1","0.001"
"","EMPLOYEE RESIDENCE","","","0.1","0.001"
"","CONTRACTING","","","0.5","0.005"
"","","","","",""
"TRAFFIC","","","10%","",""
"","TRAFFIC CONTROL","","","6","0.06"
"","SHIP REGISTRAR","","","0.3","0.003"
"","VEHICULAR CONTROL","","","3.7","0.037"
"","","","","",""
"SHIP SERVICES","","","25%","",""
"","BERTHING","","","1.5","0.015"
"","FUELLING","","","0.5","0.005"
"","STORES & PROVISIONING","","","2","0.02"
"","MAINTENANCE & REPAIR","","","4.5","0.045"
"","HOUSEKEEPING","","","1","0.01"
"","CERTIFICATION","","","0.3","0.003"
"","HIRING HALL","","","0.2","0.002"
"","SHIPYARD (IF PRESENT)","","","15","0.15"
"","","","","",""
"CARGO","","","20%","",""
"","FREIGHT HANDLING","","","15","0.15"
"","WAREHOUSING","","","4.5","0.045"
"","HAZMAT","","","0.1","0.001"
"","BROKERAGE","","","0.3","0.003"
"","SPECIAL HANDLING UNIT","","","0.1","0.001"
"","","","","",""
"PASSENGER SERVICES","","","12%","",""
"","HOSPITALITY","","","0.1","0.001"
"","PASSENGER ASSISTANCE","","","0.1","0.001"
"","BAGGAGE","","","10","0.1"
"","PASSENGER TRANSPORT","","","1.8","0.018"
"","","","","",""
"SECURITY","","","2%","",""
"","","","","",""
"MEDICAL","","","0.50%","",""
"","","","","",""
"EMERGENCY SERVICES","","","0.50%","",""
"","","","","",""
"FLIGHT OPERATIONS","","","10%","",""
"","","","","",""
"PHYSICAL PLANT","","","12%","",""
"","ENGINEERING","","","5","0.05"
"","POWER","","","2","0.02"
"","DATA COMM","","","1","0.01"
"","TRANSPORT`","","","1.5","0.015"
"","CENTRAL STORES","","","1.5","0.015"
"","COMMISSARY","","","0.5","0.005"
"","HOUSEKEEPING","","","0.5","0.005"
