"CARGO","ROLL","","LOCATE GOODS","","","",""
"WET BULK","3-8","FF0000","FAIL 10+","","","",""
"DRY BULK","9-10","FFFF00","FAIL 1 - 9","","","",""
"BREAKBULK","11-13","FF00FF","SUCCESS 0 - 5","","","",""
"RO/RO","14","00FFFF","SUCCESS 6 - 7","","","",""
"CONTAINER","15-18","0000FF","SUCCESS 8 - 9","","","",""
"","","","SUCCESS 10+","","","",""
"SPECIAL HANDLING","ROLL","","","","","",""
"PSIONIC","3","","ORIGIN PRICE","ROLL","","",""
"BIOHAZARD","4","","1MCR","3","","",""
"VALUABLE","5","","100KCR","4-5","","",""
"LIVING","6","","50KCR","6-8","","",""
"PERISHABLE","7","","20KCR","9-10","","",""
"NONE","8-12","","10KCR","11-18","","",""
"FRAGILE","13","","","","","",""
"FLAMMABLE","14","","RISK","ROLL","","",""
"CORROSIVE","15","","HIGH","3-5","","",""
"EXPLOSIVE","16","","MODERATE","6-10","","",""
"RADIOACTIVE","17","","LOW","11-18","","",""
"ROLL TWICE","18","","","","","",""
"","","","LOT SIZE","ROLL","","",""
"TERMS OF SHIPPING","ROLL","","6d-6","3-8","","",""
"EXW","3-5","","4d-4","9-14","","",""
"FAS","6","","2d-2","15-18","","",""
"FOB","7","","","","","",""
"CIF","8-12","","GOODS REACTION","ROLL","LOW","MOD","HIGH"
"DES","13","","DISASTROUS","0-","70","25","0"
"DEQ","14","","VERY BAD","1-3","86","65","30"
"DFD","15-18","","BAD","4-6","94","85","70"
"","","","POOR","7-9","98","95","90"
"FINAL PRICE","%","","NEUTRAL","10-12","100","100","100"
"FAIL 10+","50","","GOOD","13-15","102","105","110"
"FAIL 7 - 9","80","","VERY GOOD","16-18","106","115","130"
"FAIL 5 - 6","85","","EXCELLENT","19+","114","135","170"
"FAIL 3 - 4","90","","","","","",""
"FAIL 1 - 2","95","","CARGO","COL","","",""
"SUCCESS 0 - 1","100","","WET","FF0000","","",""
"SUCCESS 2 - 3","105","","DRY","FFFF00","","",""
"SUCCESS 4 - 5","110","","BREAK","FF00FF","","",""
"SUCCESS 6 - 7","115","","RO/RO","00FFFF","","",""
"SUCCESS 8 - 9","120","","CONTAINER","0000FF","","",""
"SUCCESS 10+","130","","","","","",""
"","","","","","","",""
"FREIGHT HANDLING","DICE","x HRS","","","","",""
"0-","3d","5","","","","",""
"1-3","3d","4","","","","",""
"4-6","3d","3","","","","",""
"7-9","3d","2","","","","",""
"10-12","3d","1","","","","",""
"13-15","2d","1","","","","",""
"16-18","1d","1","","","","",""
"19+","NOW","NOW","","","","",""
"","","","","","","",""
"","","","","","","",""
"SELLER","HEX","COST","TYPE","HANDLING","CLASS","GWP","REM"
"","","","","","","",""
"WTN","TERMS","BROKER","PROFIT","NUMBER","SIZE","RISK","BTN"
"","","","","","","",""
"CPA","PPA","BUYER","HEX","PRICE","TARRIFF","WTCM","DIST"
"","","","","","","",""
"GWP","REM","WTN","","","","",""
