"DREADNOUGHT","BD","CRURON","CR","BATTLE","BF","ArchDuke","","","Admiralty"
"Field1","Field2","Field3","Field4","Field5","Field6","Field8","Field9","Field11","Field10"
"13-SHIP-TYPES","","5-SQUADRON-TYPES","","9-FLEET-TYPES","","Emperor","","","Emperor"
"BATTLESHIP","BS","BATRON","BR","ASSAULT","AF","","","",""
"DREADNOUGHT","BD","CRURON","CR","BATTLE","BF","ArchDuke","","","Admiralty"
"BATTLE-RIDER","BR","ASSAULTRON","AR","INTERDICTION","IF","","","",""
"BATTLE-TENDER","BT","TANKRON","TR","PENETRATION","PF","SectorDuke","","","IndependentFleets"
"CRUISER","CR","SCOUTRON","SR","STRIKE","SF","","","",""
"CARRIER","CA","","","RESERVE","RF","NamedFleet","NamedFleet","NamedFleet","NamedFleet"
"ESCORT","ES","","","MOTHBALL","DM","","","",""
"SCOUT","SC","","","TRAINING","DT","NumberedFleet","NumberedReserve","NumberedReserve","NumberedFleet"
"TANKER","TA","","","SECURITY","DS","","","",""
"DROMEDARY","DR","","","","","RegularSquadron","ColonialSquadron","ColonialSquadron","RegularSquadron"
"FLIGHT","FL","","","","","","","",""
"AUXILLIARY","AU","","","","","Ship","Ship","Ship","Ship"
"TRANSPORT","TR","","","","","","","",""
"","","","","","","","","",""
"FLEET","FLEET","SQUADRON","PLACED","","","","","",""
"NAMED","NUMBERED","REGULAR","NAVAL BASES","","","","","",""
"","RESERVE","COLONIAL","POP9+TL9+","","","","","",""
"","","SYSTEM","POP9+TL4+","","","","","",""
"","MOTHBALL","","DEPOT","","","","","",""
"","TRAINING","","DEPOT","","","","","",""
"","SECURITY","","DEPOT","","","","","",""
"","","","","","","","","",""
"BATRON","BATRON-R","CRURON","ASSAULTRON","CRURON-C","TANKRON","","ICONS","","ICONS"
"4_X_BS","4_X_BR","5_X_CR","4_X_ES","10_X_FL","1_X_CR","","BATTLESHIP","",""
"3_X_SC","4_X_ES","4_X_ES","3_X_TR","4_X_SC","4_X_ES","","BATTLE_TENDER","",""
"2_X_TR","2_X_SC","2_X_SC","2_X_SC","1_X_CA","4_X_SC","","CRUISER","",""
"2_X_AU","1_X_TR","1_X_AU","1_X_AU","1_X_TR","4_X_TA","","SCOUT","",""
"1_X_TA","1_X_BT","","1_X_TA_OR_DR","1_X_TA_OR_DR","2_X_TR","","TANKER","",""
"","","","","","2_X_AU","","DROMEDARY","",""
"","","","","","","","ESCORT","",""
"","","","","","","","FIGHTER","",""
"","","","","","","","AUXILLIARY","",""
"","","","","","","","TRANSPORT","",""
"","","","","","","","CARRIER","",""
