"Planet","Moon","Name","UWP","Note","Field7","Field8","Field9","Field11","Field10"
"PRIMARY","","SOL","G2V","","DIA","12742KM","","ANUBIAN_TRADE_COALITION","AC"
"1","","MERCURY","G30046A-E","RE","DENS","1","","AUFTEI_KTAIH","AK"
"2","","VENUS","G8B0168-E","","MASS","1","","AOIFTU_ROAKH","AR"
"3","","TERRA","A867A69-F","HIMR","GRAV","1","","ASLAN_HIERATE","AS"
"","60","LUNA","F20076D-F","CORENV","PRIM","1","","BRIGHT_STAR_COOPERATE","BS"
"4","","MARS","F43056A-F","COMI","COM","","","PRINCIPALITY_OF_CALEDON","CA"
"5","","PLANETOID_BELT","F00066B-E","CO","ORB","3","","CARILLIAN_ASSEMBY","CB"
"6","","JUPITER","SML-GG","SIZ90","PER","365.25","","CREATION_OF_NONPAREIL","CN"
"","2","RING_SYSTEM","YR00000-0","","ROT","23HRS56M4S","","CARTER_TECHNOCRACY","CT"
"","6","IO","Y2100000-0","","AXI","23.45","","CYTRIALIN_UNITY","CU"
"","9","EUROPA","H200000-0","","ECC","0.016","","DELSUN_COMAGISTRANT","DC"
"","15","GANYMEDE","F300468-F","NV","STR","3","","DIENBACH_GRUPEN","DG"
"","25","CALLISTO","Y30016A-F","RE","AST","N/A","","DAPROLIX_JUNCTURE_OF_SUNS","DJ"
"7","","SATURN","SML-GG","SIZ75","MASS","N/A","","DEMOS_OF_NOBLES","DN"
"","2","RING_SYSTEM","YR00000-0","","ORB","N/A","","FEDERATION_OF_DAIBEI","FD"
"","3","JANUS","YS00000-0","","PER","N/A","","FTEIHEIEL_OIH","FO"
"","3","MAMAS","YS00000-0","","","","","GRALYN_ASSEMBLAGE","GA"
"","4","ENCELADUS","GS00268-F","RE","COM","STD","","GREAT_TERBAH","GI"
"","5","TETHYS","YS00000-0","","PRE","1","","KHAN_WORLD_LEAGUE","GK"
"","6","DIONE","YS00000-0","","LUM","1","","GYJ-NUAH`OEW","GO"
"","9","RHEA","H10046B-E","","FAC","374.025","","GREAT_TERBAH","GT"
"","20","TITAN","Y3A0168-E","","ABS","0.7","","COUNCIL_OF_HEADS","HC"
"","25","HYPERIAON","YS00000-0","","GRN","1.1","","HIVE_FEDERATION","HV"
"","60","LAPETUS","Y100000-0","","TEM","15C","","IYEAAO`FTE","IF"
"","225","PHOEBE","YS00000-0","","OEM","+-0.48","","IMPERIUM","IM"
"8","","URANUS","SML-GG","SIZ32","LTE","+21TO-49","","JOEI_DE_VIVRE","JD"
"","2","RING_SYSTEM","YR00000-0","","ATE","","","JONSON-BOWES_FEDERATION","JF"
"","5","MIRANDA","YS00000-0","","DTP","+6C","","JURISTICTION_OF_NADON","JN"
"","7","ARIEL","Y100000-0","","NTP","-12C","","COUNCIL_LEE_PERASH","LP"
"","10","UMBRIAL","HS00269-E","","NAT","Y","","LORDS_OF_VISION","LV"
"","15","TITANIA","H100168-E","","ATT","NO","","MARGARETS_STRONGHOLD","MA"
"","20","OBERON","Y100000-0","","GRT","NO","","GRAND_DUCHY_OF_MARLHELM","MH"
"8.5","","NEPTUNE","SML-GG","SIZ31","ALT","NO","","MALORN_UNION","MU"
"","1","RING_SYSTEM","YR00000-0","","ATT","N/A","","OLEAIY`FTE","OF"
"","15","TRITON","Y210169-E","","","","","OUTCASTS_OF_THE_WHISPERING_SKY","OW"
"","20","NEREID","YS00000-0","","HYD","0.71","","PARITY_OF_BROTHERS","PB"
"9","","PLUTO","F10046C-F","NVRE","COM","WATER","","RAL_RANTA","RA"
"","20","CHARON","YS00000-0","","#TP","10","","SOLOMANI_CONFEDERATION","SO"
"","","","","","HYT","Y","","TEALOU_ARLAOH","TA"
"RELIGION","","","","","TET","Y","","TRITA_BROTHERHOOD","TB"
"SANCTATERRA","","","","","MAC","3","","TOH_REPUBLIC","TR"
"THE_FOUNT_OF_CREATION","","","","","MIC","3","","THEOCRACY_OF_WELTSCHMERZ","TW"
"SEARCHERS_FOR_THE_ONE_FAITH","","","","","SMI","12","","UNION_OF_HARMONY","UH"
"THE_APOSTLES_OF_CLARKES_LAW","","","","","ARC","14","","VEGAN_AUTONOMOUS_DISTRICT","VE"
"","","","","","VOL","1","","COUNSEL_OF_THE_WISE","WC"
"","","","","","WEC","Y","","WINSTON_DEMOCRACY","WD"
"","","","","","NR1","AGRICULTURAL","","WOAL_WARLIYIR","WW"
"","","","","","NR2","ORES","","",""
"","","","","","NR3","RADIOACTIVES","","",""
"","","","","","NR4","CRYSTALS","","",""
"","","","","","NR5","COMPOUNDS","","",""
"","","","","","","","","",""
"","","","","","PR1","AGRO-PRODUCTS","","",""
"","","","","","PR2","METALS","","",""
"","","","","","PR3","NON-METALS","","",""
"","","","","","MG1","PARTS","","",""
"","","","","","MG2","DURABLES","","",""
"","","","","","MG3","CONSUMABLES","","",""
"","","","","","IN1","RECORDINGS","","",""
"","","","","","IN2","SOFTWARE","","",""
"","","","","","IN3","DOCUMENTS","","",""
"","","","","","","","","",""
"","","","","","POP","42.53B","","",""
"","","","","","CU1","UNUSUAL_CLOTHING_HI-SOCIETY","","",""
"","","","","","CU2","FIXED_VISITING_TIMES","","",""
"","","","","","CU3","UNUSUAL_HOLIDAYS","","",""
"","","","","","PRC","3","","",""
"","","","","","SEC","30","","",""
"","","","","","TEC","750","","",""
"","","","","","PR1","RADICAL","","",""
"","","","","","PR2","ENTERPRISING","","",""
"","","","","","AG1","COMPETITIVE","","",""
"","","","","","AG2","NEUTRAL","","",""
"","","","","","EX1","HARMONIUS","","",""
"","","","","","EX2","FRIENDLY","","",""
"","","","","","","","","",""
"","","","","","REA","E/L/J-COUNCILS","","",""
"","","","","","GOV","CAPTI","","",""
"","","","","","OA1","N/A","","",""
"","","","","","OA2","N/A","","",""
"","","","","","","","","",""
"","","","","","REP","N/A","","",""
"","","","","","UNL","UNDIVIDED","","",""
"","","","","","LEP","9","OVERALL","",""
"","","","","","","9","WEAPONS","",""
"","","","","","","6","TRADE","",""
"","","","","","","8","CRIMINAL_LAW","",""
"","","","","","","B","CIVIL_LAW","",""
"","","","","","","9","PERSONAL_FREEDOM","",""
"","","","","","","","","",""
"","","","","","HLC","","FE","","HIGH/LOW_COMMON"
"","","","","","ENE","","F","","ENERGY"
"","","","","","ROB","","F","","COMPUTER/ROBOTICS"
"","","","","","COM","","G","","COMMUNICATIONS"
"","","","","","MED","","G","","MEDICAL"
"","","","","","ENV","","G","","ENVIROMENT"
"","","","","","LWAS","","EEEF","","LAND,WATER,AIR,SPACE"
"","","","","","PHM","","FE","","PERSONAL/HEAVY_MILITARY"
"","","","","","NOV","","G","","NOVELTY"
