"Rating","CM"
"1","0.25"
"2","0.5"
"3","0.42"
"4","1"
"5","1.25"
"6","1.5"
"7","1.75"
"8","2"
"9","2.25"
"10","2.5"
"11","2.75"
"12","3"
"13","3.25"
"14","3.54"
"15","3.86"
"16","4.2"
"17","4.59"
"18","5"
"19","5.45"
"20","5.95"
"21","6.48"
"22","7.07"
"23","7.71"
"24","8.41"
"25","9.17"
"26","10"
"27","10.9"
"28","11.9"
"29","13"
"30","14.1"
"31","15.4"
"32","16.8"
"33","18.3"
"34","20"
"35","21.8"
"36","23.8"
"37","25.9"
"38","28.3"
"39","30.8"
"40","33.6"
"41","36.7"
"42","40"
"43","43.6"
"44","47.6"
"45","51.9"
"46","56.6"
"47","61.7"
"48","37.3"
"49","73.4"
"50","80"
"51","87.2"
"52","95.1"
"53","104"
"54","113"
"55","123"
"56","135"
"57","147"
"58","160"
"59","174"
"60","190"
"61","207"
"62","226"
"63","247"
"64","269"
"65","293"
"66","320"
"67","349"
"68","381"
"69","415"
"70","453"
"71","494"
"72","538"
"73","587"
"74","640"
"75","698"
"76","761"
"77","830"
"78","905"
"79","987"
"80","1080"
"81","1170"
"82","1280"
"83","1400"
"84","1520"
"85","1660"
"86","1810"
"87","1970"
"88","2150"
"89","2350"
"90","2560"
"91","2790"
"92","3040"
"93","3320"
"94","3620"
"95","3950"
"96","4310"
"97","4700"
"98","5120"
"99","5580"
"100","6090"
"101","6640"
"102","7240"
"103","7900"
"104","8610"
"105","9360"
"106","10200"
"107","11200"
"108","12200"
"109","13300"
"110","14500"
"111","15800"
"112","17200"
"113","18800"
"114","20500"
"115","22300"
"116","24400"
"117","26600"
"118","2900"
"119","31600"
"120","34400"
