"BRAIN TYPE","TL","WT","VOL","COST","POW","LC","COMP","PTS"
"Tiny","8","0.5","0.01","200","neg","6","TL-7","0"
"Small","7","2","0.04","1000","neg","6","TL-6","0"
"Standard","7","40","0.8","15000","neg","6","TL-5","0"
"Microframe","7","200","4","40000","0.1","5","TL-4","0"
"Mainframe","7","500","10","200000","1","5","TL-3","0"
"Macroframe","7","4000","80","1000000","10","5","TL-2","0"
"","","","","","","","",""
"TL MODIFIER","","","","","","","",""
"TL 7 – 8",,"1","1","1","","","",""
"TL 9",,"½","½","½","","","",""
"TL 10",,"¼","¼","¼","","","",""
"TL 11",,"1/5","1/5","1/5","","","",""
"TL 12",,"1/6","1/6","1/6","","","",""
"TL 13",,"1/7","1/7","1/7","","","",""
"","","","","","","","",""
"OPTIONS","","","","","","","",""
"Bio Computer","8*","3/2","3/2","5",,"-1","+1","-5"
"Compact","7","½","½","2","","","",""
"Dumb","7","1","1","1/5","","","-1",
"Extra ROM slots","7","1","1","3/2","","","",""
"Genius","7","1","1","7",,"-1","+1",""
"Hardened","7","3","3","5","","","",""
"High Capacity","7","1","1","3/2","","","",""
"Neural-Net","8","1","1","2","","","","70"
"DX+1","7","1","1","3/2","","","",""
"DX+2","8","1","1","2","","","",""
"DX+3","9","1","1","3","","","",""
"Sentient","10","1","1","3",,"-1","","100"
