"NAME","HEX","ZONE","BEs","?","MOD"
"Condyole","0901","","2","","1/1.5"
"Puparkin","0902","","0","","1.1/1.2"
"Chwistyoch","0904","A","140","","parent"
"Gougeste","0909","A","1","","0.8/1.4"
"Esalin","1004","A","20","","varies"
"Ruby","1005","","0","","0.85/1.45"
"Emerald","1006","","1","","0.95/1.4"
"Zenopit","1010","","2","","0.85/1.45"
"Riverland","1102","A","140000","","1.15/1.2"
"Clan","1103","A","1400","","1.15/1.2"
"Jewell","1106","","11000","","1.15/1.2"
"Zircon","1110","","20","","parent"
"Ao-dai","1201","","30","","0.85/1.45"
"Mongo","1204","","14","","1.1/1.2"
"Utoland","1209","","1","","parent"
"Pequan","1210","","1","","1.1/1.2"
"Nakege","01305","A","0","","0.8/1.4"
"Lysen","1307","","14","","0.95/1.4"
"Foelen","1401","A","20","","parent"
"Farreach","1402","A","0","","0.5/1.5"
"871-438","1510","","0","","0.5/1.5"
"Louzy","1604","","20000","","1.1/1.2"
"Grant","1607","R","0","","0.5/1.5"
"Efate","1705","","11000","","0.9/1.2"
"Alell","1706","","1400","","1.15/1.2"
"Yres","1802","","200","","varies"
"Menorb","1803","","140","","1.15/1.2"
"Uakye","1805","","1","","1.15/1.2"
"Whanga","1806","","0","","1/1.5"
"Knorbes","1807","","0","","1.1/1.2"
"Forboldn","1808","","1","","0.8/1.4"
"Zeycude","0101","","14","","1.15/1.2"
"Reno","0102","","140","","1.1/1.2"
"Errere","0103","","14","","parent"
"Cantrel","0104","","0","","0.85/1.45"
"Gyomar","0108","","3000","","1.1/1.2"
"Thengo","0202","","3","","1.1/1.2"
"Rio","0301","","20","","0.85/1.45"
"Gesentown","0303","","11","","1.15/1.2"
"Chronor","0304","","11000","","1.2/1.5"
"Atsa","0307","","140","","1.2/1.5"
"Whenge","0503","","2","","0.5/1.5"
"Enlas-du","0601","","300","","varies"
"Algebaster","0605","","14","","0.95/1.4"
"Rasatt","0607","","1","","0.5/1.5"
"Ninjar","0608","","1","","parent"
"Sheyou","0610","","140","","varies"
"Indo","0703","","30","","parent"
"Nerewhon","0704","","1","","varies"
"Cipango","0705","","1100","","parent"
"Stave","0710","","1","","1.2/1.5"
"Narval","0805","A","30","","1.1/1.2"
"Plaven","0807","","0","","0.5/1.5"
"Quar","0808","A","140","","1/1.5"
"Frond","0810","","0","","0.5/1.5"
"Ruie","1809","A","20000","","varies"
"Jenghe","1810","","14","","parent"
"Pixie","1903","","0","","0.5/1.5"
"Boughene","1904","","1","","0.9/1.2"
"Hefry","1909","","1","","1/1.5"
"Regina","1910","","1100","","1.15/1.2"
"Feri","2005","","1400","","varies"
"Roup","2007","A","140000","","1.2/1.5"
"Pscias","2106","R","0","","1/1.5"
"Yori","2110","","140","","0.95/1.4"
"Tentus","2201","","1","","0.5/1.5"
"Kinorb","2202","","20","","0.95/1.4"
"Beck's World","2204","","10","","1.15/1.2"
"Enope","2205","","30000","","1.1/1.2"
"Wochiers","2207","","1400","","1.2/1.5"
"Yorbund","2303","","2","","0.5/1.5"
"Shionthy","2306","R","200","","0.85/1.45"
"Algine","2308","R","500","","varies"
"Yurst","2309","","100","","0.85/1.45"
"Heya","2402","","300","","0.85/1.45"
"Keng","2405","","1400","","1.2/1.5"
