"TYPE","BLUE","GREEN","RED","Field7","Field8","Field9","Field10"
"ARMY","0","0","FF","","","",""
"MARINE","A0","A0","FF","","","",""
"MERCHANT","FF","0","0","","","",""
"NAVY","FF","0","0","","","",""
"OTHER","6F","FF","FF","","","",""
"SCOUT","0","FF","0","","","",""
"","","","","","","",""
"AS","8F","8F","0","x0","x8","xF",""
"BC","C0","D0","C0","0","8","0F",""
"GT","0","0","FF","30","38","3F",""
"LA","FF","0","0","60","68","6F",""
"LI","2F","6F","2F","90","98","9F",""
"RI","6F","BF","6F","B0","B8","BF",""
"","","","","D0","D8","DF",""
"MLR","FF","0F","FF","F0","F8","FF",""
"MAC","FF","3F","FF","","","",""
"MCC","FF","6F","FF","x0","x5","xA","xF"
"MGD","FF","9F","FF","0","5","0A","0F"
"MST","FF","BF","FF","10","15","1A","1F"
"MSQ","FF","DF","FF","20","25","2A","2F"
"","","","","30","35","3A","3F"
"MB","FF","30","3F","40","45","4A","4F"
"MC","FF","60","6F","50","55","5A","5F"
"MD","FF","90","9F","60","65","6A","6F"
"ME","FF","B0","BF","70","75","7A","7F"
"MF","FF","D0","DF","80","85","8A","8F"
"MG","FF","F0","FF","90","95","9A","9F"
"","","","","A0","A5","AA","AF"
"NB","FF","30","38","B0","B5","BA","BF"
"NC","FF","60","68","C0","C5","CA","CF"
"ND","FF","90","98","D0","D5","DA","DF"
"NE","FF","B0","B8","E0","E5","EA","EF"
"NF","FF","D0","D8","F0","F5","FA","FF"
"NG","FF","F0","F8","","","",""
"","","","","","","",""
"ASS","FF","8","0F","","","",""
"BAT","FF","38","3F","","","",""
"INT","FF","68","6F","","","",""
"PEN","FF","98","9F","","","",""
"STRI","FF","B8","BF","","","",""
"RES","FF","D8","DF","","","",""
"DEP","FF","F8","FF","","","",""
"","","","","","","",""
"OST","6F","38","A0","","","",""
"ODX","6F","68","30","","","",""
"OIQ","6F","98","C0","","","",""
"OHT","6F","B8","0","","","",""
"OSO","6F","D8","A0","","","",""
"OWK","6F","F8","F0","","","",""
"","","","","","","",""
"SSS","30","FF","3F","","","",""
"S1","60","FF","6F","","","",""
"S2","90","FF","9F","","","",""
"S3","B0","FF","BF","","","",""
"S4","D0","FF","DF","","","",""
"S5","F0","FF","FF","","","",""
"","","","","","","",""
"ADMIN","A0","A0","A0","","","",""
"ENG","30","30","F0","","","",""
"COACC","F0","C0","A0","","","",""
"MEDICAL","0","0","F0","","","",""
"MP","80","A0","F0","","","",""
"CAVALRY","0","F0","F0","","","",""
