"ID","Weapon","Abbrev","Burst","ToHit","DAM","DP","Cost","Weight","Spaces","Crew","Shots","Space","CPS","WPS"
"1","50mm","A5","1", 1D","9","3D","5","1000","400","3","2","1","10","40","10"
"2","75mm","A7","2", 2D","9","8D","10","6500","800","10","4","1","10","100","20"
"3","105mm","A10","2", 3D","9","10D","20","35000","1500","14","8","1","5","250","70"
"4","120mm","A12","3",4D","9","12D","30","100000","2000","16","10","1/2","1","500","100"
"5","150mm","A15","4",5D","9","15D","35","200000","3000","20","10","1/4","1","750","150"
"6","175","A17","6", 6D","9","18D","40","500000","6000","30","15","1/6","1","1000","200"
"7","200","A20","10", 8D","9","20D","50","750000","11000","50","20","1/8","1","2500","250"
"8","","","","","","","","","","","","","",""
"9","2"","R2","1", 1D","9","2D","2","140","75","1","1","1","1","",""
"10","3"","R3","2", 1D","9","3D","2","200","150","1","1","1","1","",""
"11","5"","R5","3", 3D","9","9D","2","750","250","1","1","1","1","",""
"12","7"","R7","4", 5D","9","15D","3","1500","450","1","1","1","1","",""
