"CLASS","TYPE","TEMP","LUMINOSITY","MASS","RADIUS","LIFESPAN","COLOUR","Field9","Field10"
"SPECTRAL","O","WHITE","","LUMINOSITY","","","","COMPANION","VCLOSE"
"TYPE","B","WHITE","","CLASS","II","SUPER GIANT","","ORBITS","CLOSE"
"","A","WHITE","","","III","GIANT","","","MOD"
"","F","YELLOW-WHITE","","","IV","SUB GIANT","","","WIDE"
"","G","YELLOW","","","V","MAIN_SEQUENCE","","","DIST"
"","K","ORANGE","","","D","WHITE_DWARF","","",""
"","M","RED","","","","","","",""
"","","","","","","","","",""
"CLASS_V ","TYPE","TEMP","LUMINOSITY","MASS","RADIUS","LIFESPAN","COLOUR","",""
"","O5","45000","790000","30","0.14","0","WHITE","",""
"","B5","15000","830","5.4","0.04","0.1","WHITE","",""
"","A0","9500","54","2.7","0.025","0.5","WHITE","",""
"","A5","8200","14","1.9","0.017","1.4","WHITE","",""
"","F0","7200","6.5","1.6","0.015","2.5","YELLOW-WHITE","",""
"","F5","6400","2.9","1.3","0.013","4.5","YELLOW-WHITE","",""
"","G0","6000","1.5","1.1","0.011","7.3","YELLOW","",""
"","G5","5800","0.79","0.94","0.0082","12","YELLOW","",""
"","K0","5300","0.42","0.81","0.0071","19","ORANGE","",""
"","K5","4400","0.15","0.62","0.0062","41","ORANGE","",""
"","M0","3900","0.063","0.5","0.0051","79","RED","",""
"","M5","3200","0.011","0.21","0.0032","190","RED","",""
"","M8","2600","0.001","0.063","0.0014","630","RED","",""
"","","","","","","","","",""
"CLASS_III","TYPE","TEMP","LUMINOSITY","MASS","RADIUS","LIFESPAN","COLOUR","",""
"","B5","1500","1800","7","0.058","0","WHITE","",""
"","A0","9500","106","4","0.035","0.2","WHITE","",""
"","A5","8200","43","2.5","0.03","0.6","WHITE","",""
"","F0","7200","20","1.5","0.027","3","YELLOW-WHITE","",""
"","F5","6400","17","1","0.031","10","YELLOW-WHITE","",""
"","G0","6000","34","1","0.05","10","YELLOW","",""
"","G5","5800","43","1.1","0.06","7.5","YELLOW","",""
"","K0","5300","60","1.1","0.085","7.5","ORANGE","",""
"","K5","4400","220","1.2","0.24","5.8","ORANGE","",""
"","M0","3900","330","1.2","0.37","5.8","RED","",""
"","M5","3200","930","1.4","0.92","3.6","RED","",""
"","M8","2600","1100","1.6","1.5","2.4","RED","",""
"","","","","","","","","",""
"CLASS_I","TYPE","TEMP","LUMINOSITY","MASS","RADIUS","LIFESPAN","COLOUR","",""
"","O5","4500","1100000","70","0.16","0","WHITE","",""
"","B5","1500","82000","20","0.31","0","WHITE","",""
"","A0","9500","35000","16","0.64","0","WHITE","",""
"","A5","8200","35000","13","0.86","0","WHITE","",""
"","F0","7200","32000","12","1.1","0","YELLOW-WHITE","",""
"","F5","6400","32000","10","1.3","0","YELLOW-WHITE","",""
"","G0","6000","30000","10","1.5","0","YELLOW","",""
"","G5","5800","29000","12","1.6","0","YELLOW","",""
"","K0","5300","29000","13","1.9","0","ORANGE","",""
"","K5","4400","38000","13","3.1","0","ORANGE","",""
"","M0","3900","41000","13","4.1","0","RED","",""
"","M5","3200","300000","19","17","0","RED","",""
"","M8","2600","500000","24","32","0","RED","",""
