"ORG","GIC","RSM","RAD","HVY","IND","LGT","HEX","NAME"
"","","","","","","","0105","FAIWYD"
"","","","","","","","0106","DARRUKESH"
"","","","","","","","0110","IDDAMAKUR"
"","","","","","","","0111","GRENDEL"
"","","","","","","","0116","PURDISHI"
"","","","","","","","0121","OZ"
"","","","","","","","0123","JARSLAV"
"","","","","","","","0125","KISHAKHPAP"
"","","","","","","","0126","BEAL"
"","","","","","","","0136","SWINBURNE"
"","","","","","","","0138","ERECH"
"","","","","","","","0207","BASIL"
"","","","","","","","0214","SHULULSISH*"
"","","","","","","","0215","DESDEMONA"
"","","","","","","","0217","SARMATY"
"","","","","","","","0224","SHAALGAR"
"","","","","","","","0226","LIMERICK"
"","","","","","","","0230","ALIZARIIN"
"","","","","","","","0231","LUZON"
"","","","","","","","0233","JARDIN"
"","","","","","","","0237","THESEUS"
"","","","","","","","0239","BARSOOM"
"","","","","","","","0240","GLADSTONE"
"","","","","","","","0301","AMKHALARUG"
"","","","","","","","0304","ATALANTA"
"","","","","","","","0308","SIDON"
"","","","","","","","0313","HAYT"
"","","","","","","","0316","FINNEGANS"
"","","","","","","","0317","BEMIDSHII"
"","","","","","","","0319","SEYM"
"","","","","","","","0326","ENELDUN"
"","","","","","","","0330","KRYPTON"
"","","","","","","","0331","LIBERTE"
"","","","","","","","0332","PILGHAM"
"","","","","","","","0335","MIASMA"
"","","","","","","","0405","GRAMERCY"
"","","","","","","","0407","URUD"
"","","","","","","","0411","DIOMEDES"
"","","","","","","","0424","GUSTAV"
"","","","","","","","0426","EYCK"
"","","","","","","","0432","KRAKEN"
"","","","","","","","0434","DURGHA"
"","","","","","","","0437","DOLOR"
"","","","","","","","0438","ZHONGGUO"
"","","","","","","","0440","ORMADZ"
"","","","","","","","0501","MORGANA"
"","","","","","","","0502","UGARUP"
"","","","","","","","0509","IXTLOC"
"","","","","","","","0511","YRSAI"
"","","","","","","","0518","ARUKHUR"
"","","","","","","","0524","IRASHDAA"
"","","","","","","","0527","BASSE_TERRE"
"","","","","","","","0528","KIDASHI"
"","","","","","","","0532","CADMUS"
"","","","","","","","0533","SKYRON"
"","","","","","","","0536","CHINON"
"","","","","","","","0604","RILKE"
"","","","","","","","0606","ISHADAR"
"","","","","","","","0609","GASHEN"
"","","","","","","","0610","NUKAASH"
"","","","","","","","0612","GALUCAS"
"","","","","","","","0617","HOATZIN"
"","","","","","","","0618","STRALSUND"
"","","","","","","","0624","YORK"
"","","","","","","","0626","ALBRECHT"
"","","","","","","","0628","BAJAVANANG"
"","","","","","","","0632","SIONNACH"
"","","","","","","","0637","NONSUCH"
"","","","","","","","0639","PTOLEMY"
"","","","","","","","0640","ARISIA"
"","","","","","","","0701","OBRICHENNY"
"","","","","","","","0703","KROPOTKIN"
"","","","","","","","0704","THAMBER*"
"","","","","","","","0706","ATHENE"
"","","","","","","","0713","OMSK"
"","","","","","","","0717","FURIOSO"
"","","","","","","","0718","IPPURAASH"
"","","","","","","","0719","WEIPU"
"","","","","","","","0720","THARS"
"","","","","","","","0721","AKHAMIN"
"","","","","","","","0722","GAEA*"
"","","","","","","","0723","TONOPAH"
"","","","","","","","0726","HALO"
"","","","","","","","0729","EDAAZUN"
"","","","","","","","0807","LEONORE"
"","","","","","","","0809","AZUN"
"","","","","","","","0814","UPIRZANU"
"","","","","","","","0822","COLMAR"
"","","","","","","","0823","SHIRANSAR"
"","","","","","","","0824","RANULF"
"","","","","","","","0825","DURIIM"
"","","","","","","","0826","MUNILGAN"
"","","","","","","","0832","WALLACH"
"","","","","","","","0833","THALASSA"
"","","","","","","","0835","ODYSSEUS"
"","","","","","","","0902","PORLOCK"
"","","","","","","","0903","BETHE"
"","","","","","","","0907","LLEWELLYN"
"","","","","","","","0909","GANELON"
"","","","","","","","0910","POSEIDON"
"","","","","","","","0912","FAFHRD"
"","","","","","","","0913","KITCHENER"
"","","","","","","","0914","ALPHANOR"
"","","","","","","","0918","LOMPOC"
"","","","","","","","0919","CUCHULAIN"
"","","","","","","","0921","OUDH"
"","","","","","","","0922","ISHMAEL"
"","","","","","","","0923","SEBASTA"
"","","","","","","","0924","ALSATIA"
"","","","","","","","0926","ISHUMLED"
"","","","","","","","0929","LANGELOS"
"","","","","","","","0931","YENISEI"
"","","","","","","","0938","CICERO"
"","","","","","","","1002","KHEDISH"
"","","","","","","","1007","SHAABIPILI"
"","","","","","","","1011","ANACREON"
"","","","","","","","1020","TISIPHONE"
"","","","","","","","1022","HERAKLES"
"","","","","","","","1024","FORMALHAUT"
"","","","","","","","1026","NEPAL-IN-EXILE"
"","","","","","","","1032","KHULAMPU"
"","","","","","","","1034","CHRYSOLITE"
"","","","","","","","1035","TWYLO"
"","","","","","","","1105","POICTESME"
"","","","","","","","1107","CORIOLANUS"
"","","","","","","","1110","TAMMUZ"
"","","","","","","","1111","QUAVER"
"","","","","","","","1116","DIMMURAK"
"","","","","","","","1117","ESPERANCE"
"","","","","","","","1119","MASHADDUN"
"","","","","","","","1120","MUAN_IRRZUDH"
"","","","","","","","1127","HSUISHLESH"
"","","","","","","","1129","GASHIDDA"
"","","","","","","","1136","ISHKUR"
"","","","","","","","1137","TARSUS"
"","","","","","","","1140","HADDAD"
"","","","","","","","1201","LABRYS"
"","","","","","","","1202","AKIMASI"
"","","","","","","","1205","SASE"
"","","","","","","","1207","BIGGLES"
"","","","","","","","1214","ASCALON"
"","","","","","","","1216","BOSKONE"
"","","","","","","","1218","LUDMILLA"
"","","","","","","","1219","TUNSHAON_TYO"
"","","","","","","","1222","UMICH"
"","","","","","","","1224","DINGIR**"
"","","","","","","","1234","KINUNIR"
"","","","","","","","1237","LUURU"
"","","","","","","","1239","AENEAS"
"","","","","","","","1304","HIBERNIA"
"","","","","","","","1306","VANEFA"
"","","","","","","","1311","RIMMON"
"","","","","","","","1316","BOQUERON"
"","","","","","","","1318","HEIRONYMUS"
"","","","","","","","1320","AHHUNSAL"
"","","","","","","","1324","HSIVYU"
"","","","","","","","1326","SHULGI"
"","","","","","","","1327","SHULGIILI"
"","","","","","","","1332","ENKI_KALAMMA"
"","","","","","","","1337","MIRABILIS"
"","","","","","","","1339","SEQUOYAH"
"","","","","","","","1340","AEGIR"
"","","","","","","","1402","DIRAC"
"","","","","","","","1404","GULIMARU"
"","","","","","","","1405","ESTERHAZY"
"","","","","","","","1406","AZAREMIID"
"","","","","","","","1417","CATSEYE"
"","","","","","","","1418","HOKCHOR"
"","","","","","","","1419","MUAN_IALOUR"
"","","","","","","","1424","NINSHIEN"
"","","","","","","","1427","KARKHAR"
"","","","","","","","1429","SHURUPPAK"
"","","","","","","","1435","IILIKE"
"","","","","","","","1437","TEUCER"
"","","","","","","","1439","SAXE"
"","","","","","","","1440","AQUITAINE"
"","","","","","","","1504","CAPELLA"
"","","","","","","","1505","SULEIMAN*"
"","","","","","","","1507","ROSSYG"
"","","","","","","","1510","AI_JABRY"
"","","","","","","","1511","IMARIR"
"","","","","","","","1512","OORT"
"","","","","","","","1515","YMIR"
"","","","","","","","1516","DZIM_ZHIA_GWI"
"","","","","","","","1517","EWMIAK"
"","","","","","","","1519","FLANDERS"
"","","","","","","","1522","BELLEPHERON"
"","","","","","","","1523","ALTAIR"
"","","","","","","","1526","ZAGGISI"
"","","","","","","","1529","MESHAN"
"","","","","","","","1530","MARKHASHI"
"","","","","","","","1533","SHULIMIK"
"","","","","","","","1537","SARPEDON"
"","","","","","","","1538","POLYPHEMUS"
"","","","","","","","1540","VANTAGE"
"","","","","","","","1604","VYBORG"
"","","","","","","","1607","DOLFUSS"
"","","","","","","","1609","MADDER"
"","","","","","","","1616","OKEFENOKEE"
"","","","","","","","1619","ORRUILTAN_TYUI"
"","","","","","","","1622","TYUDHUAR"
"","","","","","","","1629","APISHAL"
"","","","","","","","1636","SIRIUS"
"","","","","","","","1637","BARAKA"
"","","","","","","","1705","KROKINOLE"
"","","","","","","","1707","SHAZAM"
"","","","","","","","1710","MEKASHISH"
"","","","","","","","1711","MUDGE"
"","","","","","","","1717","KASAAN"
"","","","","","","","1718","MUAN_GWI**"
"","","","","","","","1720","HSUILZISH"
"","","","","","","","1732","VEGA"
"","","","","","","","1736","YS"
"","","","","","","","1738","CAMEROOM"
"","","","","","","","1739","HAMILCAR"
"","","","","","","","1740","PARSIFAL"
"","","","","","","","1802","ARISTOTLE"
"","","","","","","","1804","EASTER"
"","","","","","","","1813","YEREMYH"
"","","","","","","","1814","WANISH_TYO"
"","","","","","","","1816","TSAMIS"
"","","","","","","","1818","MUAN_ISSLER"
"","","","","","","","1822","ASTAGZ_TYUI"
"","","","","","","","1824","NUSKU"
"","","","","","","","1827","AGIDDA"
"","","","","","","","1830","TERRA"
"","","","","","","","1833","FENRIS"
"","","","","","","","1836","REMULAK"
"","","","","","","","1901","CHERNOZEM"
"","","","","","","","1909","ESHELLIM"
"","","","","","","","1910","ASPIDISTRA"
"","","","","","","","1911","NUUGASHUR"
"","","","","","","","1912","DEPOT"
"","","","","","","","1917","GALISHGU"
"","","","","","","","1919","ASTERR_TYUI"
"","","","","","","","1926","MERGANSER"
"","","","","","","","1929","BARNARD"
"","","","","","","","1931","JUNCTION"
"","","","","","","","2001","HEPHAISTOS"
"","","","","","","","2004","HIROSHI"
"","","","","","","","2010","CHARUTH"
"","","","","","","","2011","KHIIRSHAG"
"","","","","","","","2012","ANDIIRISH"
