"Modified Roll","Deviation/Direction"
"0 or less","80"
"1-2","75"
"3-4","70"
"5-6","65"
"7-8","60"
"9-10","55"
"11-12","50"
"13-14","45"
"15-16","40"
"17-18","35"
"19-20","30"
"21-22","25"
"23-24","20"
"25-26","15"
"27-28","10"
"29-30","5"
"31+","On Target"
"+ or -","Weapon Accuracy"
"+4","High Initiative"
"-4","Low Initiative"
"+1","Observer has map box"
"+1","Average Observer per turn"
"+2","Veteran Observer per turn"
"+2","Gunner sees Target per turn"
"+8","<5km"
"+5","5-10km"
"+4","10-20km"
"+2","20-40km"
"2-4","D"
"5","DL"
"6","UL"
"7","U"
"8","UR"
"9","DR"
"10","L"
"11-12","R"
