"ORBIT","AU","MKM","SOLAR RADII"
"0","0.2","29.9","40"
"1","0.4","59.8","80"
"2","0.7","104.7","140"
"3","1","149.6","200"
"4","1.6","239.3","320"
"5","2.8","418.9","560"
"6","5.2","777.9","1040"
"7","10","1495.9","2000"
"8","19.6","2932","3920"
"9","38.8","5804","7760"
"10","77.2","11548","15440"
"11","154","23038","30800"
"12","307.6","46016","61520"
"13","614.8","91972","123498"
"14","1229.2","183885","245836"
"15","2458","367711","491594"
"16","4915.6","735363","983106"
"17","9830.8","1470666","1966132"
"18","19661.2","2940274","3932184"
"19","39322","5882488","7864290"
