"WEAPON USED","SKILL","CHARACTERISTIC"
"Portable","BattleDress","Dexterity"
"Fixed, Tank Mount","Atillery","Intelligence"
"Laser,Fusion,Plasma","Beams","Dexterity"
"Gun,Gatling,Cannon,Autocannon","Artillery","Intelligence"
"Launcher","Launcher","Dexterity"
"Acid,Fire,Gas or Stench","Sprays","C2"
"Shock,EMP,Rad,Flash","Exotics","C2"
"Freeze,Mag,Sonic,Grav","Exotics","C2"
"Psi Amp","Exotics","Psi"
"Edged Weapons","Blades","Strength"
"Hand-to-Hand, Martial Arts","Unarmed","Strength"
"Designator","Forward Observer","Dexterity"
"Fires Bullets","Slugthrower","Dexterity"
